Date,Price,Open,High,Low,Change %
2018-04-07,903.00,908.50,917.90,897.97,-0.58%
2018-04-08,906.15,905.90,906.60,905.05,0.35%
2018-04-09,932.50,907.90,944.05,905.22,2.91%
2018-04-10,955.00,932.50,964.30,930.50,2.41%
2018-04-11,967.50,952.00,974.30,949.50,1.31%
2018-04-12,967.00,967.00,972.50,944.72,-0.05%
2018-04-13,989.50,967.80,993.00,963.47,2.33%
2018-04-14,989.50,967.80,993.00,963.47,2.33%
2018-04-15,988.95,989.10,990.35,985.80,-0.06%
2018-04-16,"1,004.50",989.22,"1,015.10",985.45,1.57%
2018-04-17,"1,013.00","1,004.00","1,020.65",983.75,0.85%
2018-04-18,"1,038.00","1,016.10","1,049.20","1,011.40",2.47%
2018-04-19,"1,028.50","1,038.00","1,060.20","1,023.00",-0.92%
2018-04-20,"1,033.00","1,033.00","1,043.80","1,014.75",0.44%
2018-04-21,"1,033.00","1,033.00","1,043.80","1,014.75",0.44%
2018-04-22,"1,029.95","1,030.35","1,031.35","1,028.65",-0.30%
2018-04-23,981.50,"1,031.60","1,038.60",974.72,-4.70%
2018-04-24,977.50,984.50,990.70,963.47,-0.41%
2018-04-25,980.50,977.50,981.00,959.10,0.31%
2018-04-26,987.50,980.00,996.50,968.00,0.71%
2018-04-27,976.50,987.00,991.80,970.97,-1.11%
2018-04-28,976.50,987.00,991.80,970.97,-1.11%
2018-04-29,973.30,974.15,974.15,970.70,-0.33%
2018-04-30,967.50,974.00,978.50,959.22,-0.60%
2018-05-01,951.00,966.50,969.30,941.97,-1.71%
2018-05-02,962.50,952.00,977.40,945.47,1.21%
2018-05-03,965.00,962.70,977.90,961.47,0.26%
2018-05-04,969.50,965.10,971.20,958.85,0.47%
2018-05-05,969.50,965.10,971.20,958.85,0.47%
2018-05-06,974.50,975.15,975.15,974.40,0.52%
2018-05-07,974.50,969.00,983.00,966.50,0.00%
2018-05-08,972.50,973.90,980.20,967.00,-0.21%
2018-05-09,978.00,971.00,985.60,969.90,0.57%
2018-05-10,"1,002.00",980.00,"1,005.10",975.75,2.45%
2018-05-11,998.50,"1,000.50","1,011.00",987.72,-0.35%
2018-05-12,998.50,"1,000.50","1,011.00",987.72,-0.35%
2018-05-13,993.45,989.45,994.75,989.25,-0.51%
2018-05-14,998.50,998.00,"1,005.10",989.47,0.51%
2018-05-15,985.50,998.40,"1,000.50",967.00,-1.30%
2018-05-16,986.25,984.50,992.10,979.00,0.08%
2018-05-17,981.00,985.75,991.90,977.22,-0.53%
2018-05-18,965.75,979.50,984.70,962.72,-1.55%
2018-05-19,965.75,979.50,984.70,962.72,-1.55%
2018-05-20,971.30,969.20,974.00,968.90,0.57%
2018-05-21,992.00,966.25,999.60,966.25,2.13%
2018-05-22,993.50,994.00,"1,009.00",988.65,0.15%
2018-05-23,979.75,991.27,996.77,967.50,-1.38%
2018-05-24,977.50,983.50,987.00,969.47,-0.23%
2018-05-25,982.50,978.50,987.00,969.50,0.51%
2018-05-26,982.50,978.50,987.00,969.50,0.51%
2018-05-27,981.10,980.40,982.05,979.55,-0.14%
2018-05-28,989.50,984.00,989.50,976.99,0.86%
2018-05-29,982.00,987.50,994.00,975.85,-0.76%
2018-05-30,988.25,978.50,990.00,974.75,0.64%
2018-05-31,988.00,989.80,995.10,985.22,-0.03%
2018-06-01,"1,002.25",989.50,"1,008.60",980.50,1.44%
2018-06-02,"1,002.25",989.50,"1,008.60",980.50,1.44%
2018-06-03,"1,002.45","1,000.25","1,002.70","1,000.15",0.02%
2018-06-04,996.40,"1,004.75","1,013.50",994.25,-0.60%
2018-06-05,997.00,999.00,"1,000.00",982.60,0.06%
2018-06-06,"1,019.30",995.70,"1,027.90",989.47,2.24%
2018-06-07,"1,014.50","1,019.50","1,031.50","1,010.70",-0.47%
2018-06-08,"1,017.50","1,014.00","1,022.20","1,007.47",0.30%
2018-06-09,"1,017.50","1,014.00","1,022.20","1,007.47",0.30%
2018-06-10,"1,013.90","1,015.60","1,015.60","1,012.25",-0.35%
2018-06-11,"1,025.00","1,013.50","1,027.40","1,010.20",1.09%
2018-06-12,"1,021.50","1,025.00","1,026.00","1,018.30",-0.34%
2018-06-13,"1,012.00","1,023.00","1,024.60","1,000.15",-0.93%
2018-06-14,"1,011.00","1,013.00","1,021.20","1,003.50",-0.10%
2018-06-15,989.00,"1,011.50","1,013.60",987.22,-2.18%
2018-06-16,989.00,"1,011.50","1,013.60",987.22,-2.18%
2018-06-17,989.90,982.80,991.30,982.70,0.09%
2018-06-18,993.00,988.00,"1,002.90",982.99,0.31%
2018-06-19,970.00,993.00,995.30,967.20,-2.32%
2018-06-20,967.00,972.10,981.50,963.25,-0.31%
2018-06-21,954.00,968.50,970.80,950.75,-1.34%
2018-06-22,959.50,951.10,964.20,950.15,0.58%
2018-06-23,959.50,951.10,964.20,950.15,0.58%
2018-06-24,959.55,958.45,959.90,958.45,0.01%
2018-06-25,942.25,958.00,961.50,939.00,-1.80%
2018-06-26,959.75,943.25,964.60,932.72,1.86%
2018-06-27,950.25,960.75,965.40,942.50,-0.99%
2018-06-28,945.65,952.20,955.20,931.67,-0.48%
2018-06-29,955.50,947.50,961.40,940.50,1.04%
2018-06-30,955.50,947.50,961.40,940.50,1.04%
2018-07-01,955.50,947.50,961.40,940.50,1.04%
2018-07-02,947.25,957.00,960.30,938.65,-0.86%
2018-07-03,942.25,950.00,957.20,939.47,-0.53%
2018-07-04,949.00,945.00,955.20,942.50,0.72%
2018-07-05,951.00,950.00,954.00,943.00,0.21%
2018-07-06,955.50,951.00,956.00,940.60,0.47%
2018-07-07,955.50,951.00,956.00,940.60,0.47%
2018-07-08,955.50,951.00,956.00,940.60,0.47%
2018-07-09,963.50,956.00,970.50,954.47,0.84%
2018-07-10,944.50,963.50,964.10,940.30,-1.97%
2018-07-11,941.00,944.50,946.60,934.40,-0.37%
2018-07-12,952.50,942.00,957.10,936.30,1.22%
2018-07-13,939.50,951.60,953.00,936.47,-1.36%
2018-07-14,939.50,951.60,953.00,936.47,-1.36%
2018-07-15,939.50,951.60,953.00,936.47,-1.36%
2018-07-16,920.50,941.80,947.00,917.75,-2.02%
2018-07-17,913.80,921.50,931.50,908.05,-0.73%
2018-07-18,909.50,916.50,918.50,905.97,-0.47%
2018-07-19,872.50,910.50,913.50,862.50,-4.07%
2018-07-20,896.50,872.00,900.70,871.50,2.75%
2018-07-21,896.50,872.00,900.70,871.50,2.75%
2018-07-22,896.50,872.00,900.70,871.50,2.75%
2018-07-23,917.00,891.50,917.60,887.50,2.29%
2018-07-24,917.50,916.60,930.00,907.35,0.05%
2018-07-25,942.00,916.50,944.10,912.75,2.67%
2018-07-26,930.00,940.50,943.90,925.47,-1.27%
2018-07-27,924.00,932.00,938.10,919.75,-0.65%
2018-07-28,924.00,932.00,938.10,919.75,-0.65%
2018-07-29,924.00,932.00,938.10,919.75,-0.65%
2018-07-30,932.00,928.50,937.20,923.50,0.87%
2018-07-31,932.00,931.40,941.30,924.90,0.00%
2018-08-01,916.50,932.50,937.70,914.22,-1.66%
2018-08-02,914.50,917.50,927.70,909.00,-0.22%
2018-08-03,912.00,915.50,926.00,910.50,-0.27%
2018-08-04,912.00,915.50,926.00,910.50,-0.27%
2018-08-05,912.00,915.50,926.00,910.50,-0.27%
2018-08-06,906.50,912.99,920.40,903.25,-0.60%
2018-08-07,909.00,907.50,925.00,905.75,0.28%
2018-08-08,903.00,911.20,917.00,892.90,-0.66%
2018-08-09,910.00,903.90,913.50,894.35,0.78%
2018-08-10,912.50,907.00,914.90,899.47,0.27%
2018-08-11,912.50,907.00,914.90,899.47,0.27%
2018-08-12,912.50,907.00,914.90,899.47,0.27%
2018-08-13,893.50,912.50,914.00,886.65,-2.08%
2018-08-14,900.00,895.50,902.80,887.22,0.73%
2018-08-15,845.50,901.00,901.30,837.50,-6.06%
2018-08-16,892.50,846.50,910.10,835.00,5.56%
2018-08-17,913.50,889.25,916.75,883.49,2.35%
2018-08-18,913.50,889.25,916.75,883.49,2.35%
2018-08-19,913.50,889.25,916.75,883.49,2.35%
2018-08-20,913.50,908.75,926.75,905.99,0.00%
2018-08-21,919.25,911.90,926.75,905.99,0.63%
2018-08-22,928.75,922.75,931.50,909.99,1.03%
2018-08-23,918.75,927.75,929.75,912.80,-1.08%
2018-08-24,939.25,916.90,942.25,913.99,2.23%
2018-08-25,939.25,916.90,942.25,913.99,2.23%
2018-08-26,939.25,916.90,942.25,913.99,2.23%
2018-08-27,951.25,938.75,952.75,931.71,1.28%
2018-08-28,944.00,952.75,959.00,934.90,-0.76%
2018-08-29,968.00,945.00,970.00,937.49,2.54%
2018-08-30,968.00,967.00,986.75,949.90,0.00%
2018-08-31,983.50,966.30,987.47,964.49,1.60%
2018-09-01,983.50,966.30,987.47,964.49,1.60%
2018-09-02,983.50,966.30,987.47,964.49,1.60%
2018-09-03,981.50,985.00,988.50,976.49,-0.20%
2018-09-04,983.00,983.50,991.47,952.80,0.15%
2018-09-05,975.50,987.50,990.10,969.49,-0.76%
2018-09-06,977.00,977.00,990.00,967.10,0.15%
2018-09-07,983.00,977.50,992.50,969.99,0.61%
2018-09-08,983.00,977.50,992.50,969.99,0.61%
2018-09-09,983.00,977.50,992.50,969.99,0.61%
2018-09-10,978.00,982.50,993.65,974.80,-0.51%
2018-09-11,977.50,978.00,986.72,967.99,-0.05%
2018-09-12,977.50,979.50,985.00,969.47,0.00%
2018-09-13,985.50,980.00,988.00,974.99,0.82%
2018-09-14,980.50,985.00,992.00,974.97,-0.51%
2018-09-15,980.50,985.00,992.00,974.97,-0.51%
2018-09-16,980.50,985.00,992.00,974.97,-0.51%
2018-09-17,987.00,980.00,989.00,975.45,0.66%
2018-09-18,"1,012.50",987.00,"1,016.00",977.40,2.58%
2018-09-19,"1,037.50","1,013.50","1,044.70","1,000.99",2.47%
2018-09-20,"1,052.50","1,038.00","1,057.30","1,033.99",1.45%
2018-09-21,"1,051.50","1,052.00","1,059.22","1,036.60",-0.10%
2018-09-22,"1,051.50","1,052.00","1,059.22","1,036.60",-0.10%
2018-09-23,"1,051.50","1,052.00","1,059.22","1,036.60",-0.10%
2018-09-24,"1,062.00","1,049.50","1,063.70","1,039.72",1.00%
2018-09-25,"1,064.00","1,060.50","1,071.50","1,051.98",0.19%
2018-09-26,"1,069.50","1,067.00","1,078.00","1,057.40",0.52%
2018-09-27,"1,084.50","1,069.52","1,087.82","1,060.50",1.40%
2018-09-28,"1,075.50","1,084.82","1,097.12","1,072.02",-0.83%
2018-09-29,"1,075.50","1,084.82","1,097.12","1,072.02",-0.83%
2018-09-30,"1,075.50","1,084.82","1,097.12","1,072.02",-0.83%
2018-10-01,"1,059.50","1,080.00","1,080.00","1,047.00",-1.49%
2018-10-02,"1,054.50","1,061.00","1,070.20","1,043.00",-0.47%
2018-10-03,"1,058.50","1,056.00","1,070.30","1,048.50",0.38%
2018-10-04,"1,060.00","1,059.50","1,068.50","1,050.00",0.14%
2018-10-05,"1,071.50","1,059.52","1,081.12","1,052.50",1.08%
2018-10-06,"1,071.50","1,059.52","1,081.12","1,052.50",1.08%
2018-10-07,"1,071.50","1,059.52","1,081.12","1,052.50",1.08%
2018-10-08,"1,078.00","1,068.00","1,079.70","1,058.37",0.61%
2018-10-09,"1,072.15","1,078.30","1,088.10","1,067.29",-0.54%
2018-10-10,"1,070.00","1,074.70","1,083.50","1,064.75",-0.20%
2018-10-11,"1,080.00","1,071.00","1,099.80","1,066.74",0.93%
2018-10-12,"1,069.00","1,083.20","1,093.05","1,066.75",-1.02%
2018-10-13,"1,069.00","1,083.20","1,093.05","1,066.75",-1.02%
2018-10-14,"1,069.00","1,083.20","1,093.05","1,066.75",-1.02%
2018-10-15,"1,086.50","1,068.00","1,092.50","1,066.97",1.64%
2018-10-16,"1,082.00","1,087.50","1,094.00","1,075.90",-0.41%
2018-10-17,"1,071.99","1,082.00","1,087.50","1,071.30",-0.93%
2018-10-18,"1,073.50","1,076.50","1,083.20","1,067.30",0.14%
2018-10-19,"1,083.00","1,074.70","1,093.20","1,072.24",0.88%
2018-10-20,"1,083.00","1,074.70","1,093.20","1,072.24",0.88%
2018-10-21,"1,083.00","1,074.70","1,093.20","1,072.24",0.88%
2018-10-22,"1,124.75","1,082.97","1,127.40","1,082.47",3.86%
2018-10-23,"1,143.50","1,125.90","1,153.50","1,118.72",1.67%
2018-10-24,"1,127.50","1,144.50","1,148.15","1,124.00",-1.40%
2018-10-25,"1,102.50","1,131.00","1,132.30","1,102.00",-2.22%
2018-10-26,"1,107.00","1,103.00","1,111.80","1,083.10",0.41%
2018-10-27,"1,107.00","1,103.00","1,111.80","1,083.10",0.41%
2018-10-28,"1,107.00","1,103.00","1,111.80","1,083.10",0.41%
2018-10-29,"1,091.50","1,105.50","1,122.50","1,088.45",-1.40%
2018-10-30,"1,076.00","1,091.00","1,101.40","1,069.70",-1.42%
2018-10-31,"1,081.50","1,077.00","1,091.40","1,070.00",0.51%
2018-11-01,"1,096.50","1,080.00","1,104.60","1,078.49",1.39%
2018-11-02,"1,118.50","1,096.00","1,127.40","1,092.85",2.01%
2018-11-03,"1,118.50","1,096.00","1,127.40","1,092.85",2.01%
2018-11-04,"1,118.50","1,096.00","1,127.40","1,092.85",2.01%
2018-11-05,"1,135.49","1,117.00","1,141.90","1,113.00",1.52%
2018-11-06,"1,116.40","1,134.80","1,136.50","1,095.50",-1.68%
2018-11-07,"1,134.60","1,114.40","1,140.50","1,110.49",1.63%
2018-11-08,"1,127.15","1,136.60","1,140.50","1,114.74",-0.66%
2018-11-09,"1,117.20","1,127.30","1,129.10","1,107.40",-0.88%
2018-11-10,"1,117.20","1,127.30","1,129.10","1,107.40",-0.88%
2018-11-11,"1,117.20","1,127.30","1,129.10","1,107.40",-0.88%
2018-11-12,"1,098.50","1,119.90","1,124.10","1,095.50",-1.67%
2018-11-13,"1,113.24","1,100.80","1,119.00","1,096.99",1.34%
2018-11-14,"1,126.99","1,115.17","1,137.08","1,103.28",1.24%
2018-11-15,"1,159.70","1,128.80","1,181.30","1,123.47",2.90%
2018-11-16,"1,178.85","1,160.05","1,186.95","1,147.55",1.65%
2018-11-17,"1,178.85","1,160.05","1,186.95","1,147.55",1.65%
2018-11-18,"1,178.85","1,160.05","1,186.95","1,147.55",1.65%
2018-11-19,"1,164.75","1,173.50","1,187.30","1,159.50",-1.20%
2018-11-20,"1,143.35","1,166.50","1,174.80","1,137.00",-1.84%
2018-11-21,"1,151.05","1,144.55","1,161.55","1,142.05",0.67%
2018-11-22,"1,156.00","1,151.10","1,158.50","1,144.99",0.43%
2018-11-23,"1,122.00","1,157.10","1,157.10","1,114.60",-2.94%
2018-11-24,"1,122.00","1,157.10","1,157.10","1,114.60",-2.94%
2018-11-25,"1,122.00","1,157.10","1,157.10","1,114.60",-2.94%
2018-11-26,"1,146.49","1,125.31","1,155.51","1,123.99",2.18%
2018-11-27,"1,153.50","1,146.49","1,160.99","1,137.00",0.61%
2018-11-28,"1,186.85","1,153.25","1,189.05","1,149.74",2.89%
2018-11-29,"1,184.00","1,187.00","1,189.50","1,167.99",-0.24%
2018-11-30,"1,182.31","1,185.49","1,207.10","1,179.51",-0.14%
2018-12-01,"1,182.31","1,185.49","1,207.10","1,179.51",-0.14%
2018-12-02,"1,182.31","1,185.49","1,207.10","1,179.51",-0.14%
2018-12-03,"1,206.50","1,181.30","1,224.95","1,180.99",2.05%
2018-12-04,"1,236.15","1,207.50","1,242.50","1,199.70",2.46%
2018-12-05,"1,246.00","1,234.80","1,266.06","1,226.50",0.80%
2018-12-06,"1,212.45","1,246.00","1,250.50","1,187.90",-2.69%
2018-12-07,"1,226.50","1,209.40","1,228.52","1,193.00",1.16%
2018-12-08,"1,226.50","1,209.40","1,228.52","1,193.00",1.16%
2018-12-09,"1,226.50","1,209.40","1,228.52","1,193.00",1.16%
2018-12-10,"1,220.50","1,228.50","1,235.49","1,208.99",-0.49%
2018-12-11,"1,246.49","1,222.60","1,259.98","1,215.49",2.13%
2018-12-12,"1,264.55","1,245.80","1,266.74","1,236.99",1.45%
2018-12-13,"1,263.24","1,262.90","1,272.25","1,247.49",-0.10%
2018-12-14,"1,247.15","1,267.35","1,270.04","1,224.54",-1.27%
2018-12-15,"1,247.15","1,267.35","1,270.04","1,224.54",-1.27%
2018-12-16,"1,247.15","1,267.35","1,270.04","1,224.54",-1.27%
2018-12-17,"1,261.24","1,249.00","1,272.50","1,236.49",1.13%
2018-12-18,"1,246.74","1,256.90","1,268.00","1,238.49",-1.15%
2018-12-19,"1,268.40","1,244.89","1,291.89","1,240.89",1.74%
2018-12-20,"1,267.50","1,263.00","1,282.50","1,238.99",-0.07%
2018-12-21,"1,234.00","1,256.00","1,277.90","1,223.80",-2.64%
2018-12-22,"1,234.00","1,256.00","1,277.90","1,223.80",-2.64%
2018-12-23,"1,234.00","1,256.00","1,277.90","1,223.80",-2.64%
2018-12-24,"1,249.20","1,236.00","1,254.10","1,221.99",1.23%
2018-12-25,"1,249.20","1,236.00","1,254.10","1,221.99",1.23%
2018-12-26,"1,265.50","1,251.30","1,273.40","1,247.79",1.30%
2018-12-27,"1,280.20","1,267.70","1,282.60","1,250.19",1.16%
2018-12-28,"1,256.00","1,277.50","1,284.65","1,242.99",-1.89%
2018-12-29,"1,256.00","1,277.50","1,284.65","1,242.99",-1.89%
2018-12-30,"1,256.00","1,277.50","1,284.65","1,242.99",-1.89%
2018-12-31,"1,269.25","1,263.45","1,275.15","1,252.94",1.05%
2019-01-01,"1,267.00","1,269.25","1,269.25","1,264.30",-0.18%
2019-01-02,"1,265.49","1,276.01","1,279.51","1,261.99",-0.12%
2019-01-03,"1,272.24","1,271.24","1,279.74","1,261.74",0.53%
2019-01-04,"1,303.74","1,272.24","1,313.00","1,260.99",2.48%
2019-01-05,"1,303.74","1,272.24","1,313.00","1,260.99",2.48%
2019-01-06,"1,303.74","1,272.24","1,313.00","1,260.99",2.48%
2019-01-07,"1,307.55","1,310.55","1,321.29","1,296.04",0.29%
2019-01-08,"1,320.99","1,309.56","1,334.51","1,287.99",1.03%
2019-01-09,"1,329.50","1,321.60","1,345.43","1,317.49",0.64%
2019-01-10,"1,324.95","1,329.50","1,334.50","1,305.99",-0.34%
2019-01-11,"1,320.75","1,324.35","1,343.25","1,314.75",-0.32%
2019-01-12,"1,320.75","1,324.35","1,343.25","1,314.75",-0.32%
2019-01-13,"1,320.75","1,324.35","1,343.25","1,314.75",-0.32%
2019-01-14,"1,325.99","1,325.00","1,344.70","1,308.49",0.40%
2019-01-15,"1,321.00","1,321.49","1,337.00","1,314.50",-0.38%
2019-01-16,"1,361.50","1,320.50","1,362.00","1,315.50",3.07%
2019-01-17,"1,399.00","1,361.50","1,437.50","1,353.00",2.75%
2019-01-18,"1,379.50","1,400.00","1,423.50","1,367.00",-1.39%
2019-01-19,"1,379.50","1,400.00","1,423.50","1,367.00",-1.39%
2019-01-20,"1,379.50","1,400.00","1,423.50","1,367.00",-1.39%
2019-01-21,"1,364.00","1,381.00","1,402.34","1,358.50",-1.12%
2019-01-22,"1,347.50","1,365.00","1,372.00","1,333.50",-1.21%
2019-01-23,"1,350.50","1,346.50","1,362.48","1,333.50",0.22%
2019-01-24,"1,322.50","1,350.50","1,355.55","1,316.00",-2.07%
2019-01-25,"1,363.00","1,323.00","1,365.00","1,311.00",3.06%
2019-01-26,"1,363.00","1,323.00","1,365.00","1,311.00",3.06%
2019-01-27,"1,363.00","1,323.00","1,365.00","1,311.00",3.06%
2019-01-28,"1,333.50","1,362.50","1,367.50","1,330.00",-2.16%
2019-01-29,"1,348.00","1,334.00","1,355.50","1,323.58",1.09%
2019-01-30,"1,363.50","1,347.50","1,363.50","1,338.03",1.15%
2019-01-31,"1,345.50","1,363.00","1,389.00","1,336.50",-1.32%
2019-02-01,"1,353.00","1,346.00","1,375.26","1,344.50",0.56%
2019-02-02,"1,353.00","1,346.00","1,375.26","1,344.50",0.56%
2019-02-03,"1,353.00","1,346.00","1,375.26","1,344.50",0.56%
2019-02-04,"1,367.00","1,356.50","1,373.73","1,343.00",1.03%
2019-02-05,"1,384.00","1,367.50","1,384.00","1,361.14",1.24%
2019-02-06,"1,375.00","1,383.50","1,385.87","1,362.72",-0.65%
2019-02-07,"1,387.50","1,374.50","1,394.86","1,366.09",0.91%
2019-02-08,"1,404.50","1,388.50","1,404.50","1,382.78",1.23%
2019-02-09,"1,404.50","1,388.50","1,404.50","1,382.78",1.23%
2019-02-10,"1,404.50","1,388.50","1,404.50","1,382.78",1.23%
2019-02-11,"1,388.00","1,407.00","1,407.00","1,373.50",-1.17%
2019-02-12,"1,405.50","1,387.50","1,406.50","1,385.50",1.26%
2019-02-13,"1,397.50","1,406.00","1,415.00","1,394.50",-0.57%
2019-02-14,"1,418.00","1,398.00","1,419.00","1,397.00",1.47%
2019-02-15,"1,434.50","1,417.50","1,437.00","1,410.00",1.16%
2019-02-16,"1,434.50","1,417.50","1,437.00","1,410.00",1.16%
2019-02-17,"1,434.50","1,417.50","1,437.00","1,410.00",1.16%
2019-02-18,"1,459.50","1,432.50","1,460.50","1,431.50",1.74%
2019-02-19,"1,482.00","1,460.00","1,493.50","1,458.50",1.54%
2019-02-20,"1,491.00","1,482.50","1,504.50","1,479.50",0.61%
