Date,Price,Open,High,Low,Vol.,Change %
2018-01-01,950.00,950.00,950.00,950.00,-,0.00%
2018-01-02,950.00,950.00,950.00,950.00,-,0.00%
2018-01-03,950.00,950.00,950.00,950.00,-,0.00%
2018-01-04,950.00,950.00,950.00,950.00,-,0.00%
2018-01-05,950.00,950.00,950.00,950.00,-,0.00%
2018-01-06,950.00,950.00,950.00,950.00,-,0.00%
2018-01-07,950.00,950.00,950.00,950.00,-,0.00%
2018-01-08,950.00,950.00,950.00,950.00,-,0.00%
2018-01-09,950.00,950.00,950.00,950.00,-,0.00%
2018-01-10,950.00,950.00,950.00,950.00,-,0.00%
2018-01-11,950.00,950.00,950.00,950.00,-,0.00%
2018-01-12,950.00,950.00,950.00,950.00,-,0.00%
2018-01-13,950.00,950.00,950.00,950.00,-,0.00%
2018-01-14,950.00,950.00,950.00,950.00,-,0.00%
2018-01-15,950.00,950.00,950.00,950.00,-,0.00%
2018-01-16,950.00,950.00,950.00,950.00,-,0.00%
2018-01-17,950.00,950.00,950.00,950.00,-,0.00%
2018-01-18,950.00,950.00,950.00,950.00,-,0.00%
2018-01-19,950.00,950.00,950.00,950.00,-,0.00%
2018-01-20,950.00,950.00,950.00,950.00,-,0.00%
2018-01-21,950.00,950.00,950.00,950.00,-,0.00%
2018-01-22,950.00,950.00,950.00,950.00,-,0.00%
2018-01-23,950.00,950.00,950.00,950.00,-,0.00%
2018-01-24,950.00,950.00,950.00,950.00,-,0.00%
2018-01-25,950.00,950.00,950.00,950.00,-,0.00%
2018-01-26,950.00,950.00,950.00,950.00,-,0.00%
2018-01-27,950.00,950.00,950.00,950.00,-,0.00%
2018-01-28,950.00,950.00,950.00,950.00,-,0.00%
2018-01-29,950.00,950.00,950.00,950.00,-,0.00%
2018-01-30,950.00,950.00,950.00,950.00,-,0.00%
2018-01-31,950.00,950.00,950.00,950.00,-,0.00%
2018-02-01,950.00,950.00,950.00,950.00,-,0.00%
2018-02-02,950.00,950.00,950.00,950.00,-,0.00%
2018-02-03,950.00,950.00,950.00,950.00,-,0.00%
2018-02-04,950.00,950.00,950.00,950.00,-,0.00%
2018-02-05,950.00,950.00,950.00,950.00,-,0.00%
2018-02-06,950.00,950.00,950.00,950.00,-,0.00%
2018-02-07,950.00,950.00,950.00,950.00,-,0.00%
2018-02-08,950.00,950.00,950.00,950.00,-,0.00%
2018-02-09,950.00,950.00,950.00,950.00,-,0.00%
2018-02-10,950.00,950.00,950.00,950.00,-,0.00%
