Date,Open,High,Low,Close
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875
2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875
2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375
2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125
2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0
2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875
2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5
2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375
2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625
2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625
2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125
2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375
2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625
2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625
2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625
2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625
2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625
2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125
2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875
2018-01-29,11755.5,11875.599609375,11179.2001953125,11296.400390625
2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875
2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625
2018-02-04,9175.7001953125,9334.8701171875,8031.2202148438,8277.009765625
2018-02-05,8270.5400390625,8364.83984375,6756.6801757813,6955.2700195313
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875
2018-02-08,7637.8598632813,8558.76953125,7637.8598632813,8265.58984375
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625
2018-02-11,8616.1298828125,8616.1298828125,7931.1000976563,8129.9702148438
2018-02-12,8141.4301757813,8985.919921875,8141.4301757813,8926.5703125
2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125
2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125
2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625
2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625
2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125
2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875
2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875
2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125
2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0
2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625
2018-03-01,10385.0,11052.2998046875,10352.7001953125,10951.0
2018-03-02,10977.400390625,11189.0,10850.099609375,11086.400390625
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125
2018-03-04,11497.400390625,11512.599609375,11136.099609375,11512.599609375
2018-03-05,11532.400390625,11704.099609375,11443.900390625,11573.2998046875
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625
2018-03-07,10803.900390625,10929.5,9692.1201171875,9965.5703125
2018-03-08,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625
2018-03-09,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875
2018-03-10,9350.58984375,9531.3203125,8828.4697265625,8866.0
2018-03-11,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125
2018-03-12,9602.9296875,9937.5,8956.4296875,9205.1201171875
2018-03-13,9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375
2018-03-14,9214.650390625,9355.849609375,8068.58984375,8269.8095703125
