date,high,low,open,close,volume,quoteVolume,weightedAverage
2015-02-20 00:00:00,244.0,244.0,244.0,244.0,0.0,0.0,244.0
2015-02-20 04:00:00,240.25011809,240.25011568,240.25011809,240.25011568,10.57100509,0.044,240.25011569
2015-02-20 08:00:00,245.0,240.25,244.0,240.25,45.32389191,0.18642935,243.11564631
2015-02-20 12:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-20 16:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-20 20:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-21 00:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-21 04:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-21 08:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-21 12:00:00,240.25,240.25,240.25,240.25,0.0,0.0,240.25
2015-02-21 16:00:00,245.0,245.0,245.0,245.0,14.72223865,0.06009077,245.0
2015-02-21 20:00:00,245.0,245.0,245.0,245.0,0.0,0.0,245.0
2015-02-22 00:00:00,249.0,245.0,245.0,249.0,4.99300143,0.02021607,246.98180358
2015-02-22 04:00:00,249.0,249.0,249.0,249.0,0.0,0.0,249.0
2015-02-22 08:00:00,245.0,245.0,245.0,245.0,4.4570302,0.01819196,245.0
2015-02-22 12:00:00,245.00001722,244.0,245.00001722,244.0,51.03221976,0.20900653,244.1656716
2015-02-22 16:00:00,235.50000711,235.5,235.50000711,235.5,48.73875501,0.20695862,235.5
2015-02-22 20:00:00,235.001,235.0,235.001,235.0,19.90024144,0.08468181,235.00019008
2015-02-23 00:00:00,235.001,235.0,235.00000236,235.0,93.74860118,0.39893011,235.0000635
2015-02-23 04:00:00,235.00002596,235.00002596,235.00002596,235.00002596,0.0417266,0.00017756,235.00002596
2015-02-23 08:00:00,235.00002596,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596
2015-02-23 12:00:00,235.00002596,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596
2015-02-23 16:00:00,235.00002596,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596
2015-02-23 20:00:00,235.0,235.0,235.0,235.0,2.7772347,0.01181802,235.0
2015-02-24 00:00:00,235.0,235.0,235.0,235.0,0.93876155,0.00399473,235.0
2015-02-24 04:00:00,235.0,235.0,235.0,235.0,0.0,0.0,235.0
2015-02-24 08:00:00,235.0,235.0,235.0,235.0,0.0,0.0,235.0
2015-02-24 12:00:00,238.00003776,238.00003776,238.00003776,238.00003776,16.77681306,0.0704908,238.00003776
2015-02-24 16:00:00,238.00003776,238.00003776,238.00003776,238.00003776,131.4164499,0.55216987,238.00003776
2015-02-24 20:00:00,239.75,239.75,239.75,239.75,0.02236867,9.33e-05,239.75
2015-02-25 00:00:00,239.75,239.75,239.75,239.75,0.0,0.0,239.75
2015-02-25 04:00:00,239.75,239.75,239.75,239.75,0.0,0.0,239.75
2015-02-25 08:00:00,239.75,237.75,239.75,237.75,221.58409525,0.92755033,238.89172165
2015-02-25 12:00:00,237.75,237.75,237.75,237.75,0.0,0.0,237.75
2015-02-25 16:00:00,237.75,237.75,237.75,237.75,0.0,0.0,237.75
2015-02-25 20:00:00,237.75,237.75,237.75,237.75,0.0,0.0,237.75
2015-02-26 00:00:00,237.75,237.75,237.75,237.75,0.0,0.0,237.75
2015-02-26 04:00:00,237.75,237.75,237.75,237.75,0.0,0.0,237.75
2015-02-26 08:00:00,237.75,237.75,237.75,237.75,0.00305271,1.284e-05,237.75
2015-02-26 12:00:00,239.79999999,237.75,237.75,239.79999999,0.12346224,0.00051594,239.29574465
2015-02-26 16:00:00,238.5,238.5,238.5,238.5,0.02897298,0.00012148,238.5
2015-02-26 20:00:00,238.5,238.5,238.5,238.5,0.0,0.0,238.5
2015-02-27 00:00:00,248.6,238.49999999,238.49999999,248.6,364.20836166,1.50970167,241.24525321
2015-02-27 04:00:00,239.0,239.0,239.0,239.0,0.14654046,0.00061314,239.0
2015-02-27 08:00:00,249.0,239.0,239.0,249.0,2.12450398,0.00871082,243.89253594
2015-02-27 12:00:00,249.0,239.0,249.0,239.0,5.62000078,0.02320042,242.2370276
2015-02-27 16:00:00,249.0,249.0,249.0,249.0,11.65601619,0.04681131,249.0
2015-02-27 20:00:00,249.0,249.0,249.0,249.0,0.0,0.0,249.0
