Date,Value
2015-02-20,304964.91853
2015-02-21,333693.497812
2015-02-22,333693.497811803
2015-02-23,320255.62492
2015-02-24,362028.097736
2015-02-25,362028.097735547
2015-02-26,366669.483604
2015-02-27,313293.546117
2015-02-28,313293.5461173
2015-03-01,348103.94013
2015-03-02,357386.711867
2015-03-03,357386.711867142
2015-03-04,264558.994499
2015-03-05,366669.483604
2015-03-06,366669.483603951
2015-03-07,362028.097736
2015-03-08,311208.02387
2015-03-09,311208.023870146
2015-03-10,391367.666382
2015-03-11,313565.660415
2015-03-12,313565.660414617
2015-03-13,315923.296959
2015-03-14,346572.572037
2015-03-15,346572.572037208
2015-03-16,337142.025859
2015-03-17,332426.75277
2015-03-18,332426.752770383
2015-03-19,332426.75277
2015-03-20,337142.025859
2015-03-21,337142.025859325
2015-03-22,358360.75476
2015-03-23,387831.112209
2015-03-24,387831.112208752
2015-03-25,346028.956402
2015-03-26,399442.822155
2015-03-27,399442.822155122
2015-03-28,350673.64038
2015-03-29,329772.562477
2015-03-30,329772.562476903
2015-03-31,329772.562477
2015-04-01,341384.272423
2015-04-02,341384.272423273
2015-04-03,357640.666348
2015-04-04,371157.005412
2015-04-05,371157.005411998
2015-04-06,390820.952719
2015-04-07,292501.216186
2015-04-08,292501.216185614
2015-04-09,349035.064692
2015-04-10,336745.097625
2015-04-11,336745.097625455
2015-04-12,346577.071279
2015-04-13,388362.959305
2015-04-14,388362.959305269
2015-04-15,339203.091039
2015-04-16,329371.117385
2015-04-17,329371.117385482
2015-04-18,334287.104212
2015-04-19,408026.906612
2015-04-20,408026.906611865
2015-04-21,338442.961883
2015-04-22,326609.291887
2015-04-23,326609.291887328
2015-04-24,364477.035874
2015-04-25,352643.365878
2015-04-26,352643.365878346
2015-04-27,371577.237872
2015-04-28,305308.685895
2015-04-29,305308.685894676
2015-04-30,347909.89788
2015-05-01,347909.89788
2015-05-02,347909.897879979
2015-05-03,312624.333323
2015-05-04,364728.388877
2015-05-05,364728.388876663
2015-05-06,381306.952007
2015-05-07,350518.191907
2015-05-08,350518.191907442
2015-05-09,305519.234838
2015-05-10,352886.558069
2015-05-11,352886.558068979
2015-05-12,383675.318169
2015-05-13,331571.262615
2015-05-14,331571.262615148
2015-05-15,303150.868677
2015-05-16,419738.369702
2015-05-17,419738.369701863
2015-05-18,329967.735719
2015-05-19,344525.135825
2015-05-20,344525.13582465
