,mse,mae,rmse
"garch(1,1)_model_forecast",1.2251541636199765e-05,0.0020219290975201504,0.0035002202268142736
picked_model_forecast,1.4912136250993595e-06,0.00086855857441344,0.0012211525805972648
whole_model_forecast,3.0603913937738188e-06,0.0010911916764444122,0.0017493974373405886
