,date,RV
0,2018-01-01,0.002155353297477854
1,2018-01-02,0.006344243717236756
2,2018-01-03,0.0027899113883362407
3,2018-01-04,0.0022669520564706233
4,2018-01-05,0.007203813141251911
5,2018-01-06,0.001111512357498254
6,2018-01-07,0.001262238245079291
7,2018-01-08,0.009333610803317013
8,2018-01-09,0.0014865295119232806
9,2018-01-10,0.0025540020373702533
10,2018-01-11,0.01785333637486954
11,2018-01-12,0.002131826180870836
12,2018-01-13,0.0009521605269205249
13,2018-01-14,0.003100039939947373
14,2018-01-15,0.001294424693914561
15,2018-01-16,0.009052279789125902
16,2018-01-17,0.02323672691349516
17,2018-01-18,0.01536285290157228
18,2018-01-19,0.003365888055654848
19,2018-01-20,0.008168587756126843
20,2018-01-21,0.006030076838771
21,2018-01-22,0.010920452992820344
22,2018-01-23,0.007671789541730966
23,2018-01-24,0.0008043297776759536
24,2018-01-25,0.0021906793566383903
25,2018-01-26,0.007783147400689311
26,2018-01-27,0.00312994243417268
27,2018-01-28,0.0016815207057491368
28,2018-01-29,0.0015924457058036137
29,2018-01-30,0.0051873613089367
30,2018-01-31,0.002095221490899066
31,2018-02-01,0.005943697098086299
32,2018-02-02,0.014866658575755814
33,2018-02-03,0.008084523542470844
34,2018-02-04,0.004792076052737231
35,2018-02-05,0.014463605193381667
36,2018-02-06,0.03149704125539276
37,2018-02-07,0.017958832338135382
38,2018-02-08,0.006589050700387261
39,2018-02-09,0.00302730832499745
40,2018-02-10,0.0037696920691213773
41,2018-02-11,0.007913702092618376
42,2018-02-12,0.0033258624437332344
43,2018-02-13,0.0012365571784434433
44,2018-02-14,0.0033183827512085645
45,2018-02-15,0.0024488503193033713
46,2018-02-16,0.0019155343951665408
47,2018-02-17,0.002507800875472132
48,2018-02-18,0.0033501293019373973
49,2018-02-19,0.0015553145291360168
50,2018-02-20,0.002455637281792171
51,2018-02-21,0.0028012197195393554
52,2018-02-22,0.0030292987706208446
53,2018-02-23,0.0020624702396308953
54,2018-02-24,0.0032670460453825207
55,2018-02-25,0.0011638353805761823
56,2018-02-26,0.003758220238585314
57,2018-02-27,0.0016821436149348648
58,2018-02-28,0.001854511637166008
59,2018-03-01,0.0007642703101277545
60,2018-03-02,0.0007664270062191625
61,2018-03-03,0.0010772753777485735
62,2018-03-04,0.0011666966217693496
63,2018-03-05,0.0004980600098319762
64,2018-03-06,0.0017382465604344145
65,2018-03-07,0.007239987359321662
66,2018-03-08,0.006192360834895185
67,2018-03-09,0.006042559827072286
68,2018-03-10,0.002314241222167955
69,2018-03-11,0.006296048418600339
70,2018-03-12,0.007050518193660075
71,2018-03-13,0.0008503989649561418
72,2018-03-14,0.0054994544665634935
73,2018-03-15,0.0043461660845817
74,2018-03-16,0.004484524675423323
75,2018-03-17,0.0014310394403596997
76,2018-03-18,0.012974338269503916
77,2018-03-19,0.002156601182203821
78,2018-03-20,0.003593656380511756
79,2018-03-21,0.0011367093348571566
80,2018-03-22,0.0017184136586514205
81,2018-03-23,0.002766355432137609
82,2018-03-24,0.002983108364463624
83,2018-03-25,0.0007098106055278637
84,2018-03-26,0.002444322473054277
85,2018-03-27,0.002153066376126308
86,2018-03-28,0.001198246194293961
87,2018-03-29,0.003721439470492525
88,2018-03-30,0.00568858274621393
89,2018-03-31,0.002633945236178763
90,2018-04-01,0.006837965815899162
91,2018-04-02,0.0008558409742685696
92,2018-04-03,0.0016429554593763427
93,2018-04-04,0.0034192418817222715
94,2018-04-05,5.3210942404848834e-05
95,2018-04-06,0.0004308861856343655
96,2018-04-07,0.0018568706640962127
97,2018-04-08,0.0008005146450817876
98,2018-04-09,0.0032482990919445484
99,2018-04-10,0.000321568392329298
100,2018-04-11,0.0002259985268360137
101,2018-04-12,0.015236927856620081
102,2018-04-13,0.002131884341415495
103,2018-04-14,0.0011311637568153894
104,2018-04-15,0.0011150454530111796
105,2018-04-16,0.0010079011400166778
106,2018-04-17,0.0007605057973937581
107,2018-04-18,0.0008691150022487518
108,2018-04-19,7.724593134309169e-05
109,2018-04-20,0.002098473838428439
110,2018-04-21,0.0010226547537112052
111,2018-04-22,0.0003798101753436613
112,2018-04-23,0.0002619706521642107
113,2018-04-24,0.0013069042358424372
114,2018-04-25,0.00231475019191573
115,2018-04-26,0.002247015248420446
116,2018-04-27,0.0010674069353366219
117,2018-04-28,0.0009015186060201769
118,2018-04-29,0.0009771604615377483
119,2018-04-30,0.0004117925567337984
120,2018-05-01,0.0011108297813527666
121,2018-05-02,0.0003558157049310868
122,2018-05-03,0.0013963359281481203
123,2018-05-04,0.0007285058318263373
124,2018-05-05,0.0002889041047279998
125,2018-05-06,0.0007269382936679404
126,2018-05-07,0.001325567703709848
127,2018-05-08,0.0004568117722010737
128,2018-05-09,0.000939405341435045
129,2018-05-10,0.000924632452161334
130,2018-05-11,0.001556955781816807
131,2018-05-12,0.0016160867678347702
132,2018-05-13,0.0003078551983933872
133,2018-05-14,0.0032741843499608657
134,2018-05-15,0.0009861783501707495
135,2018-05-16,0.0020145443042687726
136,2018-05-17,0.0005889516939148311
137,2018-05-18,0.0004536731264072796
138,2018-05-19,0.0007959078816697966
139,2018-05-20,0.00037187884733279835
140,2018-05-21,0.0001265655138966081
141,2018-05-22,0.0008229137204967512
142,2018-05-23,0.0008838509190062472
143,2018-05-24,0.0015372844072645215
144,2018-05-25,0.0006695119771675859
145,2018-05-26,0.0009854563792401152
146,2018-05-27,9.859496579486044e-05
147,2018-05-28,0.0008125913358597765
148,2018-05-29,0.0013305776794729197
149,2018-05-30,0.0006286287864134155
