Date,Open,High,Low,Close,Adj Close
2018-01-01,0.008875,0.008875,0.008874,0.008876,0.008876
2018-01-02,0.008868,0.008923,0.008866,0.008868,0.008868
2018-01-03,0.008908,0.008913,0.00889,0.008909,0.008909
2018-01-04,0.008881,0.008888,0.008861,0.00888,0.00888
2018-01-05,0.008866,0.008871,0.008827,0.008867,0.008867
2018-01-06,0.008866,0.008871,0.008827,0.008867,0.008867
2018-01-07,0.008866,0.008871,0.008827,0.008867,0.008867
2018-01-08,0.008838,0.008858,0.008821,0.008838,0.008838
2018-01-09,0.008836,0.008899,0.008836,0.008839,0.008839
2018-01-10,0.008868,0.008986,0.008868,0.008869,0.008869
2018-01-11,0.008975,0.008982,0.008939,0.008973,0.008973
2018-01-12,0.008986,0.009009,0.008955,0.008985,0.008985
2018-01-13,0.008986,0.009009,0.008955,0.008985,0.008985
2018-01-14,0.008986,0.009009,0.008955,0.008985,0.008985
2018-01-15,0.008995,0.00905,0.008995,0.009001,0.009001
2018-01-16,0.009039,0.009041,0.009011,0.009043,0.009043
2018-01-17,0.009062,0.009074,0.009016,0.009059,0.009059
2018-01-18,0.008981,0.00903,0.008971,0.008979,0.008979
2018-01-19,0.009009,0.009049,0.009,0.009007,0.009007
2018-01-20,0.009009,0.009049,0.009,0.009007,0.009007
2018-01-21,0.009009,0.009049,0.009,0.009007,0.009007
2018-01-22,0.009034,0.00904,0.008997,0.009035,0.009035
2018-01-23,0.009011,0.00907,0.008996,0.009012,0.009012
2018-01-24,0.009081,0.009174,0.009067,0.009082,0.009082
2018-01-25,0.009149,0.009209,0.009136,0.009147,0.009147
2018-01-26,0.009119,0.009231,0.009111,0.009115,0.009115
2018-01-27,0.009119,0.009231,0.009111,0.009115,0.009115
2018-01-28,0.009119,0.009231,0.009111,0.009115,0.009115
2018-01-29,0.009204,0.009216,0.009158,0.009205,0.009205
2018-01-30,0.009178,0.009223,0.009158,0.009181,0.009181
2018-01-31,0.009195,0.009208,0.009139,0.009197,0.009197
2018-02-01,0.009159,0.009165,0.009112,0.009157,0.009157
2018-02-02,0.009142,0.009149,0.009052,0.00914,0.00914
2018-02-03,0.009142,0.009149,0.009052,0.00914,0.00914
2018-02-04,0.009142,0.009149,0.009052,0.00914,0.00914
2018-02-05,0.009089,0.009118,0.00907,0.009088,0.009088
2018-02-06,0.009173,0.009219,0.009122,0.009166,0.009166
2018-02-07,0.009123,0.009181,0.00912,0.009122,0.009122
2018-02-08,0.009163,0.009183,0.009109,0.009158,0.009158
2018-02-09,0.00921,0.009221,0.00915,0.009214,0.009214
2018-02-10,0.00921,0.009221,0.00915,0.009214,0.009214
2018-02-11,0.00921,0.009221,0.00915,0.009214,0.009214
2018-02-12,0.009192,0.00922,0.009192,0.009191,0.009191
2018-02-13,0.009202,0.009308,0.009195,0.0092,0.0092
2018-02-14,0.00928,0.00937,0.009269,0.00928,0.00928
2018-02-15,0.009382,0.009417,0.009357,0.009382,0.009382
2018-02-16,0.009429,0.009473,0.009401,0.009424,0.009424
2018-02-17,0.009429,0.009473,0.009401,0.009424,0.009424
2018-02-18,0.009429,0.009473,0.009401,0.009424,0.009424
2018-02-19,0.00941,0.009425,0.009371,0.009411,0.009411
2018-02-20,0.00937,0.009377,0.009316,0.009371,0.009371
2018-02-21,0.009313,0.009319,0.009269,0.009313,0.009313
2018-02-22,0.009291,0.009377,0.00928,0.009298,0.009298
2018-02-23,0.009359,0.009388,0.009336,0.009362,0.009362
2018-02-24,0.009359,0.009388,0.009336,0.009362,0.009362
2018-02-25,0.009359,0.009388,0.009336,0.009362,0.009362
2018-02-26,0.009341,0.0094,0.00934,0.009339,0.009339
2018-02-27,0.009338,0.009364,0.00929,0.00934,0.00934
2018-02-28,0.009305,0.009382,0.0093,0.009309,0.009309
2018-03-01,0.009377,0.009384,0.009329,0.009377,0.009377
2018-03-02,0.009418,0.0095,0.009409,0.009419,0.009419
2018-03-03,0.009418,0.0095,0.009409,0.009419,0.009419
2018-03-04,0.009418,0.0095,0.009409,0.009419,0.009419
2018-03-05,0.009473,0.009492,0.009435,0.009474,0.009474
2018-03-06,0.009409,0.009447,0.009394,0.009412,0.009412
2018-03-07,0.009468,0.009478,0.009418,0.009475,0.009475
2018-03-08,0.009419,0.009443,0.009411,0.009417,0.009417
2018-03-09,0.009398,0.009402,0.009343,0.009398,0.009398
2018-03-10,0.009398,0.009402,0.009343,0.009398,0.009398
2018-03-11,0.009398,0.009402,0.009343,0.009398,0.009398
2018-03-12,0.009356,0.009401,0.009349,0.009355,0.009355
2018-03-13,0.009406,0.009411,0.009322,0.009411,0.009411
2018-03-14,0.009385,0.009426,0.009369,0.009389,0.009389
2018-03-15,0.00942,0.009453,0.009419,0.00942,0.00942
2018-03-16,0.009405,0.009469,0.009405,0.009407,0.009407
2018-03-17,0.009405,0.009469,0.009405,0.009407,0.009407
2018-03-18,0.009405,0.009469,0.009405,0.009407,0.009407
2018-03-19,0.009437,0.009462,0.009408,0.009437,0.009437
2018-03-20,0.009431,0.009435,0.009382,0.009434,0.009434
2018-03-21,0.009391,0.009422,0.009389,0.009392,0.009392
2018-03-22,0.009441,0.009498,0.009437,0.00944,0.00944
2018-03-23,0.009526,0.009554,0.009499,0.009527,0.009527
2018-03-24,0.009526,0.009554,0.009499,0.009527,0.009527
2018-03-25,0.009526,0.009554,0.009499,0.009527,0.009527
2018-03-26,0.009538,0.009548,0.009502,0.009537,0.009537
2018-03-27,0.009475,0.009482,0.009444,0.009479,0.009479
2018-03-28,0.009477,0.009485,0.009405,0.009479,0.009479
2018-03-29,0.009363,0.009411,0.009352,0.009362,0.009362
2018-03-30,0.009392,0.009424,0.009389,0.009392,0.009392
2018-03-31,0.009392,0.009424,0.009389,0.009392,0.009392
2018-04-01,0.009392,0.009424,0.009389,0.009392,0.009392
2018-04-02,0.009406,0.009437,0.009394,0.009406,0.009406
2018-04-03,0.009451,0.009461,0.009382,0.009452,0.009452
2018-04-04,0.009396,0.009434,0.009374,0.009395,0.009395
2018-04-05,0.009365,0.009371,0.009304,0.009366,0.009366
2018-04-06,0.009339,0.009349,0.009306,0.009341,0.009341
2018-04-07,0.009339,0.009349,0.009306,0.009341,0.009341
2018-04-08,0.009339,0.009349,0.009306,0.009341,0.009341
2018-04-09,0.00935,0.009359,0.009328,0.009349,0.009349
2018-04-10,0.00937,0.009378,0.009312,0.009368,0.009368
2018-04-11,0.009336,0.009376,0.009333,0.009336,0.009336
2018-04-12,0.009362,0.009372,0.00931,0.009361,0.009361
2018-04-13,0.009321,0.009323,0.009279,0.009326,0.009326
2018-04-14,0.009321,0.009323,0.009279,0.009326,0.009326
2018-04-15,0.009321,0.009323,0.009279,0.009326,0.009326
2018-04-16,0.009303,0.009334,0.009302,0.009302,0.009302
2018-04-17,0.009345,0.009356,0.009329,0.009342,0.009342
2018-04-18,0.009343,0.009345,0.009313,0.009344,0.009344
2018-04-19,0.009314,0.009322,0.009301,0.009316,0.009316
2018-04-20,0.009308,0.009311,0.009272,0.009308,0.009308
2018-04-21,0.009308,0.009311,0.009272,0.009308,0.009308
2018-04-22,0.009308,0.009311,0.009272,0.009308,0.009308
2018-04-23,0.009273,0.009282,0.009206,0.009271,0.009271
2018-04-24,0.009196,0.009199,0.009159,0.009194,0.009194
2018-04-25,0.009191,0.009192,0.009143,0.009191,0.009191
2018-04-26,0.009144,0.009168,0.009137,0.009144,0.009144
2018-04-27,0.009148,0.009176,0.00913,0.009149,0.009149
2018-04-28,0.009148,0.009176,0.00913,0.009149,0.009149
2018-04-29,0.009148,0.009176,0.00913,0.009149,0.009149
2018-04-30,0.009166,0.009173,0.009137,0.009166,0.009166
2018-05-01,0.009149,0.009153,0.009109,0.009147,0.009147
2018-05-02,0.009104,0.00912,0.009091,0.009101,0.009101
2018-05-03,0.009106,0.00918,0.009104,0.009105,0.009105
2018-05-04,0.009164,0.009204,0.009152,0.009166,0.009166
2018-05-05,0.009164,0.009204,0.009152,0.009166,0.009166
2018-05-06,0.009164,0.009204,0.009152,0.009166,0.009166
2018-05-07,0.009163,0.009195,0.009142,0.009162,0.009162
2018-05-08,0.009179,0.009186,0.009147,0.009179,0.009179
2018-05-09,0.009171,0.009174,0.009106,0.009172,0.009172
2018-05-10,0.009105,0.009146,0.009092,0.009104,0.009104
2018-05-11,0.009135,0.009161,0.009127,0.009138,0.009138
2018-05-12,0.009135,0.009161,0.009127,0.009138,0.009138
2018-05-13,0.009135,0.009161,0.009127,0.009138,0.009138
2018-05-14,0.009147,0.009157,0.009121,0.009146,0.009146
2018-05-15,0.009113,0.009118,0.009061,0.009113,0.009113
2018-05-16,0.009068,0.009087,0.00906,0.009066,0.009066
2018-05-17,0.00906,0.009083,0.009021,0.009061,0.009061
2018-05-18,0.009022,0.009037,0.009003,0.009023,0.009023
2018-05-19,0.009022,0.009037,0.009003,0.009023,0.009023
2018-05-20,0.009022,0.009037,0.009003,0.009023,0.009023
2018-05-21,0.009016,0.009017,0.008978,0.009019,0.009019
2018-05-22,0.009008,0.009025,0.008995,0.009011,0.009011
2018-05-23,0.009031,0.009128,0.009019,0.009031,0.009031
2018-05-24,0.009098,0.009176,0.009098,0.009102,0.009102
2018-05-25,0.009147,0.009164,0.009114,0.009148,0.009148
2018-05-26,0.009147,0.009164,0.009114,0.009148,0.009148
2018-05-27,0.009147,0.009164,0.009114,0.009148,0.009148
2018-05-28,0.009121,0.009153,0.009113,0.009122,0.009122
2018-05-29,0.009142,0.009219,0.009142,0.009142,0.009142
2018-05-30,0.009221,0.009225,0.009169,0.009226,0.009226
2018-05-31,0.009198,0.009225,0.009176,0.009199,0.009199
2018-06-01,0.009194,0.009194,0.009114,0.009195,0.009195
2018-06-02,0.009194,0.009194,0.009114,0.009195,0.009195
2018-06-03,0.009194,0.009194,0.009114,0.009195,0.009195
2018-06-04,0.009124,0.009143,0.009112,0.009124,0.009124
2018-06-05,0.009093,0.009125,0.009092,0.009094,0.009094
2018-06-06,0.009101,0.009107,0.009073,0.009103,0.009103
2018-06-07,0.009081,0.009103,0.009073,0.009081,0.009081
2018-06-08,0.009114,0.009158,0.009104,0.009116,0.009116
2018-06-09,0.009114,0.009158,0.009104,0.009116,0.009116
2018-06-10,0.009114,0.009158,0.009104,0.009116,0.009116
2018-06-11,0.009132,0.009141,0.009087,0.009137,0.009137
2018-06-12,0.009061,0.009083,0.009052,0.009059,0.009059
2018-06-13,0.009053,0.009063,0.009033,0.009054,0.009054
2018-06-14,0.009071,0.009098,0.009053,0.009071,0.009071
2018-06-15,0.009037,0.009059,0.009017,0.009038,0.009038
2018-06-16,0.009037,0.009059,0.009017,0.009038,0.009038
2018-06-17,0.009037,0.009059,0.009017,0.009038,0.009038
2018-06-18,0.00904,0.009066,0.009038,0.00904,0.00904
2018-06-19,0.009077,0.009128,0.009075,0.00908,0.00908
2018-06-20,0.009084,0.009102,0.009071,0.009085,0.009085
2018-06-21,0.009063,0.0091,0.009029,0.009062,0.009062
2018-06-22,0.009096,0.009107,0.009074,0.009095,0.009095
2018-06-23,0.009096,0.009107,0.009074,0.009095,0.009095
2018-06-24,0.009096,0.009107,0.009074,0.009095,0.009095
2018-06-25,0.009096,0.009142,0.009096,0.009096,0.009096
2018-06-26,0.009121,0.009142,0.00909,0.009121,0.009121
2018-06-27,0.00908,0.009117,0.009051,0.009083,0.009083
2018-06-28,0.009072,0.009093,0.009057,0.009073,0.009073
2018-06-29,0.009055,0.009059,0.009019,0.009051,0.009051
2018-06-30,0.009055,0.009059,0.009019,0.009051,0.009051
2018-07-01,0.009055,0.009059,0.009019,0.009051,0.009051
2018-07-02,0.00903,0.009041,0.009005,0.009033,0.009033
2018-07-03,0.009018,0.009049,0.008999,0.009019,0.009019
2018-07-04,0.009058,0.009068,0.009046,0.009057,0.009057
2018-07-05,0.00905,0.009067,0.009033,0.00905,0.00905
2018-07-06,0.009045,0.009059,0.009027,0.009043,0.009043
2018-07-07,0.009045,0.009059,0.009027,0.009043,0.009043
2018-07-08,0.009045,0.009059,0.009027,0.009043,0.009043
2018-07-09,0.009056,0.009061,0.009027,0.009056,0.009056
2018-07-10,0.009014,0.009015,0.008981,0.009013,0.009013
2018-07-11,0.009019,0.009027,0.008959,0.009023,0.009023
2018-07-12,0.00893,0.00893,0.00888,0.008932,0.008932
2018-07-13,0.008877,0.008899,0.008866,0.008876,0.008876
2018-07-14,0.008877,0.008899,0.008866,0.008876,0.008876
2018-07-15,0.008877,0.008899,0.008866,0.008876,0.008876
2018-07-16,0.008897,0.008909,0.008885,0.008897,0.008897
2018-07-17,0.0089,0.00891,0.008857,0.008899,0.008899
2018-07-18,0.00885,0.008872,0.008839,0.008849,0.008849
2018-07-19,0.008865,0.008877,0.008838,0.008866,0.008866
2018-07-20,0.008899,0.008957,0.00888,0.0089,0.0089
2018-07-21,0.008899,0.008957,0.00888,0.0089,0.0089
2018-07-22,0.008899,0.008957,0.00888,0.0089,0.0089
2018-07-23,0.009004,0.009027,0.008975,0.009005,0.009005
2018-07-24,0.008973,0.009011,0.008973,0.008972,0.008972
2018-07-25,0.008987,0.009017,0.00898,0.008989,0.008989
2018-07-26,0.009019,0.009041,0.008993,0.009022,0.009022
2018-07-27,0.008998,0.009017,0.008992,0.008997,0.008997
2018-07-28,0.008998,0.009017,0.008992,0.008997,0.008997
2018-07-29,0.008998,0.009017,0.008992,0.008997,0.008997
2018-07-30,0.009015,0.009018,0.008996,0.009014,0.009014
2018-07-31,0.00901,0.00902,0.008932,0.009009,0.009009
2018-08-01,0.008945,0.008953,0.008918,0.008944,0.008944
2018-08-02,0.008958,0.008982,0.008951,0.008959,0.008959
2018-08-03,0.008953,0.009001,0.008946,0.008953,0.008953
2018-08-04,0.008953,0.009001,0.008946,0.008953,0.008953
2018-08-05,0.008953,0.009001,0.008946,0.008953,0.008953
2018-08-06,0.008991,0.008995,0.008967,0.00899,0.00899
2018-08-07,0.008982,0.009009,0.00898,0.008981,0.008981
2018-08-08,0.008981,0.009022,0.008975,0.008981,0.008981
2018-08-09,0.009017,0.009033,0.008995,0.009018,0.009018
2018-08-10,0.009004,0.009048,0.008999,0.009002,0.009002
2018-08-11,0.009004,0.009048,0.008999,0.009002,0.009002
2018-08-12,0.009004,0.009048,0.008999,0.009002,0.009002
2018-08-13,0.009038,0.009081,0.009015,0.009039,0.009039
2018-08-14,0.009042,0.009042,0.008999,0.009037,0.009037
2018-08-15,0.008989,0.009055,0.008975,0.008989,0.008989
2018-08-16,0.009043,0.009052,0.009016,0.009044,0.009044
2018-08-17,0.00901,0.009064,0.009006,0.009009,0.009009
2018-08-18,0.00901,0.009064,0.009006,0.009009,0.009009
2018-08-19,0.00901,0.009064,0.009006,0.009009,0.009009
2018-08-20,0.009052,0.009065,0.009035,0.009052,0.009052
2018-08-21,0.009096,0.009109,0.009051,0.009095,0.009095
