Date,Open,High,Low,Close,Adj Close
2018-01-01,0.127982,0.127998,0.127979,0.127982,0.127982
2018-01-02,0.127983,0.127985,0.12789,0.127982,0.127982
2018-01-03,0.127938,0.127959,0.127913,0.127938,0.127938
2018-01-04,0.127926,0.127931,0.127897,0.127928,0.127928
2018-01-05,0.127918,0.127922,0.127858,0.127916,0.127916
2018-01-06,0.127918,0.127922,0.127858,0.127916,0.127916
2018-01-07,0.127918,0.127922,0.127858,0.127916,0.127916
2018-01-08,0.127889,0.1279,0.127831,0.127889,0.127889
2018-01-09,0.127863,0.127889,0.127822,0.127853,0.127853
2018-01-10,0.127863,0.127881,0.1278,0.127849,0.127849
2018-01-11,0.127843,0.127854,0.127792,0.127843,0.127843
2018-01-12,0.127822,0.12784,0.127799,0.12782,0.12782
2018-01-13,0.127822,0.12784,0.127799,0.12782,0.12782
2018-01-14,0.127822,0.12784,0.127799,0.12782,0.12782
2018-01-15,0.127841,0.127843,0.127797,0.127842,0.127842
2018-01-16,0.12782,0.127858,0.127797,0.127818,0.127818
2018-01-17,0.12782,0.127943,0.127797,0.12782,0.12782
2018-01-18,0.127917,0.12796,0.12785,0.127916,0.127916
2018-01-19,0.127918,0.127933,0.127865,0.12792,0.12792
2018-01-20,0.127918,0.127933,0.127865,0.12792,0.12792
2018-01-21,0.127918,0.127933,0.127865,0.12792,0.12792
2018-01-22,0.127938,0.127941,0.127864,0.127936,0.127936
2018-01-23,0.127907,0.127936,0.12788,0.127906,0.127906
2018-01-24,0.127902,0.127936,0.127889,0.127901,0.127901
2018-01-25,0.127916,0.127944,0.1279,0.127916,0.127916
2018-01-26,0.127921,0.127928,0.127889,0.127918,0.127918
2018-01-27,0.127921,0.127928,0.127889,0.127918,0.127918
2018-01-28,0.127921,0.127928,0.127889,0.127918,0.127918
2018-01-29,0.127916,0.127927,0.127885,0.127921,0.127921
2018-01-30,0.127918,0.127923,0.127881,0.127918,0.127918
2018-01-31,0.127871,0.127895,0.127851,0.127868,0.127868
2018-02-01,0.127858,0.127884,0.127846,0.127858,0.127858
2018-02-02,0.127884,0.127902,0.127854,0.127881,0.127881
2018-02-03,0.127884,0.127902,0.127854,0.127881,0.127881
2018-02-04,0.127884,0.127902,0.127854,0.127881,0.127881
2018-02-05,0.127866,0.127885,0.12783,0.127864,0.127864
2018-02-06,0.127877,0.127915,0.127856,0.127885,0.127885
2018-02-07,0.127903,0.127912,0.127882,0.127905,0.127905
2018-02-08,0.127913,0.127928,0.127872,0.12791,0.12791
2018-02-09,0.127882,0.127907,0.127864,0.127881,0.127881
2018-02-10,0.127882,0.127907,0.127864,0.127881,0.127881
2018-02-11,0.127882,0.127907,0.127864,0.127881,0.127881
2018-02-12,0.127907,0.12791,0.127856,0.127913,0.127913
2018-02-13,0.127885,0.127897,0.127822,0.127887,0.127887
2018-02-14,0.127858,0.127869,0.127836,0.127859,0.127859
2018-02-15,0.127845,0.127882,0.127828,0.127848,0.127848
2018-02-16,0.127877,0.127884,0.12784,0.127877,0.127877
2018-02-17,0.127877,0.127884,0.12784,0.127877,0.127877
2018-02-18,0.127877,0.127884,0.12784,0.127877,0.127877
2018-02-19,0.127854,0.127856,0.127827,0.127851,0.127851
2018-02-20,0.127854,0.127863,0.12781,0.127848,0.127848
2018-02-21,0.127811,0.127815,0.127786,0.127812,0.127812
2018-02-22,0.127794,0.127815,0.127763,0.127792,0.127792
2018-02-23,0.12781,0.127851,0.127807,0.127805,0.127805
2018-02-24,0.12781,0.127851,0.127807,0.127805,0.127805
2018-02-25,0.12781,0.127851,0.127807,0.127805,0.127805
2018-02-26,0.127826,0.127832,0.127799,0.127826,0.127826
2018-02-27,0.12783,0.127831,0.127755,0.127829,0.127829
2018-02-28,0.127755,0.127799,0.127719,0.127755,0.127755
2018-03-01,0.127781,0.127783,0.127745,0.127782,0.127782
2018-03-02,0.127762,0.127765,0.127698,0.127763,0.127763
2018-03-03,0.127762,0.127765,0.127698,0.127763,0.127763
2018-03-04,0.127762,0.127765,0.127698,0.127763,0.127763
2018-03-05,0.127697,0.127704,0.127663,0.127696,0.127696
2018-03-06,0.127685,0.127698,0.127656,0.127678,0.127678
2018-03-07,0.127665,0.127676,0.127611,0.12765,0.12765
2018-03-08,0.127643,0.127667,0.127494,0.127644,0.127644
2018-03-09,0.127552,0.127614,0.127489,0.127556,0.127556
2018-03-10,0.127552,0.127614,0.127489,0.127556,0.127556
2018-03-11,0.127552,0.127614,0.127489,0.127556,0.127556
2018-03-12,0.127606,0.127606,0.127541,0.127603,0.127603
2018-03-13,0.127558,0.127578,0.127538,0.127558,0.127558
2018-03-14,0.127558,0.127562,0.127512,0.127561,0.127561
2018-03-15,0.127551,0.127552,0.127512,0.127548,0.127548
2018-03-16,0.127526,0.127528,0.127489,0.127523,0.127523
2018-03-17,0.127526,0.127528,0.127489,0.127523,0.127523
2018-03-18,0.127526,0.127528,0.127489,0.127523,0.127523
2018-03-19,0.127501,0.12752,0.127478,0.127499,0.127499
2018-03-20,0.127508,0.127518,0.127475,0.127507,0.127507
2018-03-21,0.127476,0.127484,0.127445,0.127473,0.127473
2018-03-22,0.127473,0.127478,0.127419,0.127475,0.127475
2018-03-23,0.127421,0.12746,0.1274,0.127418,0.127418
2018-03-24,0.127421,0.12746,0.1274,0.127418,0.127418
2018-03-25,0.127421,0.12746,0.1274,0.127418,0.127418
2018-03-26,0.127453,0.127464,0.127395,0.127455,0.127455
2018-03-27,0.127447,0.127452,0.127426,0.127447,0.127447
2018-03-28,0.127444,0.127465,0.127421,0.127445,0.127445
2018-03-29,0.127444,0.12745,0.127406,0.127445,0.127445
2018-03-30,0.127424,0.127431,0.127402,0.127415,0.127415
2018-03-31,0.127424,0.127431,0.127402,0.127415,0.127415
2018-04-01,0.127424,0.127431,0.127402,0.127415,0.127415
2018-04-02,0.127411,0.127426,0.12738,0.12741,0.12741
2018-04-03,0.127418,0.127423,0.127393,0.127415,0.127415
2018-04-04,0.127413,0.127421,0.127397,0.127413,0.127413
2018-04-05,0.1274,0.127416,0.127382,0.127377,0.127377
2018-04-06,0.127406,0.127426,0.127385,0.127408,0.127408
2018-04-07,0.127406,0.127426,0.127385,0.127408,0.127408
2018-04-08,0.127406,0.127426,0.127385,0.127408,0.127408
2018-04-09,0.127418,0.127419,0.127376,0.127418,0.127418
2018-04-10,0.127406,0.127413,0.127389,0.127405,0.127405
2018-04-11,0.1274,0.127403,0.127366,0.127402,0.127402
2018-04-12,0.1274,0.127405,0.12738,0.127392,0.127392
2018-04-13,0.127395,0.127398,0.12733,0.127396,0.127396
2018-04-14,0.127395,0.127398,0.12733,0.127396,0.127396
2018-04-15,0.127395,0.127398,0.12733,0.127396,0.127396
2018-04-16,0.127392,0.127397,0.127353,0.127393,0.127393
2018-04-17,0.127392,0.127408,0.127369,0.127393,0.127393
2018-04-18,0.127393,0.127405,0.127356,0.127393,0.127393
2018-04-19,0.127402,0.127484,0.127387,0.127403,0.127403
2018-04-20,0.127421,0.127484,0.12741,0.127423,0.127423
2018-04-21,0.127421,0.127484,0.12741,0.127423,0.127423
2018-04-22,0.127421,0.127484,0.12741,0.127423,0.127423
2018-04-23,0.127481,0.127531,0.127462,0.12748,0.12748
2018-04-24,0.127509,0.127523,0.127434,0.127509,0.127509
2018-04-25,0.127437,0.127447,0.127411,0.127424,0.127424
2018-04-26,0.127437,0.127465,0.127403,0.127435,0.127435
2018-04-27,0.127452,0.127453,0.12741,0.127453,0.127453
2018-04-28,0.127452,0.127453,0.12741,0.127453,0.127453
2018-04-29,0.127452,0.127453,0.12741,0.127453,0.127453
2018-04-30,0.127419,0.127431,0.127389,0.127421,0.127421
2018-05-01,0.127418,0.127421,0.127376,0.127416,0.127416
2018-05-02,0.127405,0.12741,0.127366,0.127403,0.127403
2018-05-03,0.127398,0.12742,0.127384,0.127398,0.127398
2018-05-04,0.127403,0.127416,0.127366,0.127401,0.127401
2018-05-05,0.127403,0.127416,0.127366,0.127401,0.127401
2018-05-06,0.127403,0.127416,0.127366,0.127401,0.127401
2018-05-07,0.1274,0.12741,0.127337,0.127403,0.127403
2018-05-08,0.127392,0.127403,0.127382,0.127382,0.127382
2018-05-09,0.127398,0.1274,0.127372,0.127377,0.127377
2018-05-10,0.127402,0.12741,0.127356,0.127398,0.127398
2018-05-11,0.127398,0.12741,0.127364,0.127397,0.127397
2018-05-12,0.127398,0.12741,0.127364,0.127397,0.127397
2018-05-13,0.127398,0.12741,0.127364,0.127397,0.127397
2018-05-14,0.127397,0.127408,0.127379,0.127397,0.127397
2018-05-15,0.127395,0.127406,0.127348,0.127395,0.127395
2018-05-16,0.127392,0.127406,0.127376,0.127393,0.127393
2018-05-17,0.127398,0.127408,0.127353,0.127397,0.127397
2018-05-18,0.127392,0.127408,0.127366,0.12738,0.12738
2018-05-19,0.127392,0.127408,0.127366,0.12738,0.12738
2018-05-20,0.127392,0.127408,0.127366,0.12738,0.12738
2018-05-21,0.127395,0.12741,0.127343,0.127393,0.127393
2018-05-22,0.127427,0.127434,0.127387,0.127426,0.127426
2018-05-23,0.127393,0.127419,0.127371,0.127393,0.127393
2018-05-24,0.127424,0.127449,0.127406,0.127424,0.127424
2018-05-25,0.127435,0.12751,0.127413,0.127429,0.127429
2018-05-26,0.127435,0.12751,0.127413,0.127429,0.127429
2018-05-27,0.127435,0.12751,0.127413,0.127429,0.127429
2018-05-28,0.127468,0.127506,0.127449,0.12748,0.12748
2018-05-29,0.12747,0.127477,0.127425,0.127472,0.127472
2018-05-30,0.127462,0.127489,0.127427,0.12746,0.12746
2018-05-31,0.127442,0.127526,0.127406,0.127443,0.127443
2018-06-01,0.127454,0.127488,0.127452,0.127455,0.127455
2018-06-02,0.127454,0.127488,0.127452,0.127455,0.127455
2018-06-03,0.127454,0.127488,0.127452,0.127455,0.127455
2018-06-04,0.127466,0.127471,0.127398,0.127465,0.127465
2018-06-05,0.127457,0.127458,0.127436,0.127453,0.127453
2018-06-06,0.127434,0.127458,0.127424,0.127433,0.127433
2018-06-07,0.127436,0.127492,0.127432,0.127437,0.127437
2018-06-08,0.127452,0.127483,0.127445,0.12745,0.12745
2018-06-09,0.127452,0.127483,0.127445,0.12745,0.12745
2018-06-10,0.127452,0.127483,0.127445,0.12745,0.12745
2018-06-11,0.12745,0.12746,0.127437,0.127455,0.127455
2018-06-12,0.127455,0.127462,0.127427,0.127452,0.127452
2018-06-13,0.127442,0.127453,0.12741,0.12744,0.12744
2018-06-14,0.127427,0.127447,0.127407,0.127418,0.127418
2018-06-15,0.127404,0.127424,0.127393,0.127397,0.127397
2018-06-16,0.127404,0.127424,0.127393,0.127397,0.127397
2018-06-17,0.127404,0.127424,0.127393,0.127397,0.127397
2018-06-18,0.127404,0.127415,0.127371,0.127402,0.127402
2018-06-19,0.1274,0.127416,0.12739,0.127399,0.127399
2018-06-20,0.127402,0.127455,0.127392,0.127397,0.127397
2018-06-21,0.127463,0.127499,0.127448,0.127453,0.127453
2018-06-22,0.127465,0.127492,0.127445,0.127463,0.127463
2018-06-23,0.127465,0.127492,0.127445,0.127463,0.127463
2018-06-24,0.127465,0.127492,0.127445,0.127463,0.127463
2018-06-25,0.127449,0.127481,0.127425,0.12745,0.12745
2018-06-26,0.127445,0.127449,0.127401,0.127442,0.127442
2018-06-27,0.127408,0.12745,0.127392,0.127406,0.127406
2018-06-28,0.127421,0.127443,0.12741,0.127423,0.127423
2018-06-29,0.127421,0.127475,0.12741,0.127418,0.127418
2018-06-30,0.127421,0.127475,0.12741,0.127418,0.127418
2018-07-01,0.127421,0.127475,0.12741,0.127418,0.127418
2018-07-02,0.127438,0.127489,0.127421,0.127437,0.127437
2018-07-03,0.127478,0.127496,0.127444,0.127476,0.127476
2018-07-04,0.127476,0.127522,0.127463,0.127475,0.127475
2018-07-05,0.127504,0.127504,0.127413,0.127504,0.127504
2018-07-06,0.127438,0.127439,0.127408,0.127435,0.127435
2018-07-07,0.127438,0.127439,0.127408,0.127435,0.127435
2018-07-08,0.127438,0.127439,0.127408,0.127435,0.127435
2018-07-09,0.127423,0.127434,0.12741,0.127421,0.127421
2018-07-10,0.127422,0.127434,0.127404,0.127421,0.127421
2018-07-11,0.127416,0.127426,0.127402,0.127415,0.127415
2018-07-12,0.127415,0.127426,0.127405,0.127415,0.127415
2018-07-13,0.127413,0.127432,0.12739,0.12741,0.12741
2018-07-14,0.127413,0.127432,0.12739,0.12741,0.12741
2018-07-15,0.127413,0.127432,0.12739,0.12741,0.12741
2018-07-16,0.127413,0.127424,0.1274,0.127416,0.127416
2018-07-17,0.127415,0.127427,0.127398,0.127411,0.127411
2018-07-18,0.127412,0.127416,0.127387,0.127411,0.127411
2018-07-19,0.127411,0.127423,0.127395,0.127405,0.127405
2018-07-20,0.1274,0.127429,0.127398,0.1274,0.1274
2018-07-21,0.1274,0.127429,0.127398,0.1274,0.1274
2018-07-22,0.1274,0.127429,0.127398,0.1274,0.1274
2018-07-23,0.127402,0.127436,0.127398,0.127405,0.127405
2018-07-24,0.127421,0.127478,0.127413,0.127419,0.127419
2018-07-25,0.127455,0.127475,0.127447,0.127452,0.127452
2018-07-26,0.127468,0.127481,0.127416,0.127466,0.127466
2018-07-27,0.127427,0.127433,0.127402,0.127429,0.127429
2018-07-28,0.127427,0.127433,0.127402,0.127429,0.127429
2018-07-29,0.127427,0.127433,0.127402,0.127429,0.127429
2018-07-30,0.127426,0.127427,0.127408,0.127423,0.127423
2018-07-31,0.127422,0.127446,0.127403,0.127422,0.127422
2018-08-01,0.127411,0.127424,0.127387,0.127408,0.127408
2018-08-02,0.127416,0.127418,0.127395,0.127421,0.127421
2018-08-03,0.127397,0.127416,0.127395,0.127398,0.127398
2018-08-04,0.127397,0.127416,0.127395,0.127398,0.127398
2018-08-05,0.127397,0.127416,0.127395,0.127398,0.127398
2018-08-06,0.127406,0.127429,0.1274,0.127408,0.127408
2018-08-07,0.127405,0.127421,0.127393,0.127406,0.127406
2018-08-08,0.127398,0.127413,0.127392,0.127397,0.127397
2018-08-09,0.127406,0.127418,0.127367,0.127403,0.127403
2018-08-10,0.127398,0.127408,0.127389,0.127394,0.127394
2018-08-11,0.127398,0.127408,0.127389,0.127394,0.127394
2018-08-12,0.127398,0.127408,0.127389,0.127394,0.127394
2018-08-13,0.127401,0.127408,0.12739,0.1274,0.1274
