,Date,Open,High,Low,Close,Adj Close
0,2015-02-20,0.779849,0.784991,0.77918,0.779545,0.779545
1,2015-02-21,0.779849,0.784991,0.77918,0.779545,0.779545
2,2015-02-22,0.779849,0.784991,0.77918,0.779545,0.779545
3,2015-02-23,0.78456,0.784683,0.778271,0.784621,0.784621
4,2015-02-24,0.77991,0.7818,0.773994,0.77997,0.77997
5,2015-02-25,0.783208,0.790202,0.783208,0.783331,0.783331
6,2015-02-26,0.788519,0.791264,0.781677,0.788395,0.788395
7,2015-02-27,0.780275,0.783515,0.777968,0.780579,0.780579
8,2015-02-28,0.780275,0.783515,0.777968,0.780579,0.780579
9,2015-03-01,0.780275,0.783515,0.777968,0.780579,0.780579
10,2015-03-02,0.778755,0.77997,0.775855,0.778574,0.778574
11,2015-03-03,0.775735,0.784461,0.775374,0.775675,0.775675
12,2015-03-04,0.781983,0.785978,0.780701,0.782044,0.782044
13,2015-03-05,0.782473,0.784129,0.777001,0.78235,0.78235
14,2015-03-06,0.778695,0.784437,0.771665,0.778513,0.778513
15,2015-03-07,0.778695,0.784437,0.771665,0.778513,0.778513
16,2015-03-08,0.778695,0.784437,0.771665,0.778513,0.778513
17,2015-03-09,0.772082,0.773994,0.768758,0.77226,0.77226
18,2015-03-10,0.768403,0.768521,0.761383,0.768521,0.768521
19,2015-03-11,0.764059,0.764526,0.756315,0.764175,0.764175
20,2015-03-12,0.760341,0.772798,0.757518,0.760572,0.760572
21,2015-03-13,0.770594,0.770772,0.761093,0.770653,0.770653
22,2015-03-14,0.770594,0.770772,0.761093,0.770653,0.770653
23,2015-03-15,0.770594,0.770772,0.761093,0.770653,0.770653
24,2015-03-16,0.761847,0.768108,0.761847,0.761615,0.761615
25,2015-03-17,0.764351,0.766577,0.761499,0.764409,0.764409
26,2015-03-18,0.762137,0.765404,0.759301,0.762311,0.762311
27,2015-03-19,0.777726,0.780884,0.761847,0.777847,0.777847
28,2015-03-20,0.766225,0.776277,0.765052,0.765814,0.765814
29,2015-03-21,0.766225,0.776277,0.765052,0.765814,0.765814
30,2015-03-22,0.766225,0.776277,0.765052,0.765814,0.765814
31,2015-03-23,0.778392,0.785299,0.776578,0.778392,0.778392
32,2015-03-24,0.787588,0.793714,0.784314,0.787526,0.787526
33,2015-03-25,0.786473,0.790264,0.784437,0.786287,0.786287
34,2015-03-26,0.783208,0.788519,0.780153,0.783024,0.783024
35,2015-03-27,0.783024,0.783392,0.775254,0.783392,0.783392
36,2015-03-28,0.783024,0.783392,0.775254,0.783392,0.783392
37,2015-03-29,0.783024,0.783392,0.775254,0.783392,0.783392
38,2015-03-30,0.773575,0.773994,0.763417,0.773455,0.773455
39,2015-03-31,0.765568,0.766284,0.759244,0.765814,0.765814
40,2015-04-01,0.761789,0.766166,0.75861,0.761383,0.761383
41,2015-04-02,0.760456,0.760688,0.753523,0.760688,0.760688
42,2015-04-03,0.758208,0.768817,0.757289,0.758208,0.758208
43,2015-04-04,0.758208,0.768817,0.757289,0.758208,0.758208
44,2015-04-05,0.758208,0.768817,0.757289,0.758208,0.758208
45,2015-04-06,0.764117,0.766695,0.761093,0.764409,0.764409
46,2015-04-07,0.759025,0.771248,0.757863,0.759013,0.759013
47,2015-04-08,0.763942,0.772678,0.763884,0.764292,0.764292
48,2015-04-09,0.768403,0.773994,0.766225,0.768462,0.768462
49,2015-04-10,0.770416,0.77232,0.764,0.770416,0.770416
50,2015-04-11,0.770416,0.77232,0.764,0.770416,0.770416
51,2015-04-12,0.770416,0.77232,0.764,0.770416,0.770416
52,2015-04-13,0.766577,0.767283,0.755344,0.76693,0.76693
53,2015-04-14,0.758898,0.764935,0.755744,0.758725,0.758725
54,2015-04-15,0.761562,0.763825,0.757346,0.761441,0.761441
55,2015-04-16,0.767695,0.779672,0.767636,0.767872,0.767872
56,2015-04-17,0.778816,0.784375,0.776156,0.778938,0.778938
57,2015-04-18,0.778816,0.784375,0.776156,0.778938,0.778938
58,2015-04-19,0.778816,0.784375,0.776156,0.778938,0.778938
59,2015-04-20,0.78064,0.782718,0.771486,0.780945,0.780945
60,2015-04-21,0.772082,0.775434,0.768521,0.77226,0.77226
61,2015-04-22,0.771307,0.780884,0.770772,0.771545,0.771545
62,2015-04-23,0.774593,0.778574,0.771307,0.775014,0.775014
63,2015-04-24,0.777484,0.784006,0.776518,0.777726,0.777726
64,2015-04-25,0.777484,0.784006,0.776518,0.777726,0.777726
65,2015-04-26,0.777484,0.784006,0.776518,0.777726,0.777726
66,2015-04-27,0.783392,0.786906,0.779484,0.783331,0.783331
67,2015-04-28,0.786658,0.801925,0.786102,0.78672,0.78672
68,2015-04-29,0.799808,0.807559,0.79783,0.79968,0.79968
69,2015-04-30,0.799488,0.802182,0.786473,0.799488,0.799488
70,2015-05-01,0.789889,0.790576,0.780884,0.790326,0.790326
71,2015-05-02,0.789889,0.790576,0.780884,0.790326,0.790326
72,2015-05-03,0.789889,0.790576,0.780884,0.790326,0.790326
73,2015-05-04,0.782656,0.785176,0.780457,0.783024,0.783024
74,2015-05-05,0.784129,0.795292,0.780457,0.784314,0.784314
75,2015-05-06,0.79321,0.803084,0.792833,0.793525,0.793525
76,2015-05-07,0.795418,0.800576,0.790826,0.795672,0.795672
77,2015-05-08,0.789889,0.796813,0.786782,0.790139,0.790139
78,2015-05-09,0.789889,0.796813,0.786782,0.790139,0.790139
79,2015-05-10,0.789889,0.796813,0.786782,0.790139,0.790139
80,2015-05-11,0.792267,0.793399,0.787836,0.792581,0.792581
81,2015-05-12,0.78964,0.799424,0.78883,0.789952,0.789952
82,2015-05-13,0.798977,0.81248,0.796559,0.799041,0.799041
83,2015-05-14,0.811227,0.816326,0.806517,0.811293,0.811293
84,2015-05-15,0.808473,0.809192,0.799872,0.808669,0.808669
85,2015-05-16,0.808473,0.809192,0.799872,0.808669,0.808669
86,2015-05-17,0.808473,0.809192,0.799872,0.808669,0.808669
87,2015-05-18,0.804505,0.804699,0.798403,0.804699,0.804699
88,2015-05-19,0.79936,0.800961,0.790826,0.799488,0.799488
89,2015-05-20,0.79233,0.793714,0.78703,0.792205,0.792205
90,2015-05-21,0.788022,0.79139,0.786968,0.787836,0.787836
91,2015-05-22,0.790202,0.79321,0.782105,0.790202,0.790202
92,2015-05-23,0.790202,0.79321,0.782105,0.790202,0.790202
