,Date, Open, High, Low, Close
0,2015-02-20,17985.77,18144.29,17878.37,18140.44
1,2015-02-21,17985.77,18144.29,17878.37,18140.44
2,2015-02-22,17985.77,18144.29,17878.37,18140.44
3,2015-02-23,18140.76,18141.21,18054.84,18116.84
4,2015-02-24,18112.57,18231.09,18098.73,18209.19
5,2015-02-25,18208.67,18244.38,18182.76,18224.57
6,2015-02-26,18224.41,18239.43,18157.07,18214.42
7,2015-02-27,18213.26,18213.26,18132.38,18132.7
8,2015-02-28,18213.26,18213.26,18132.38,18132.7
9,2015-03-01,18213.26,18213.26,18132.38,18132.7
10,2015-03-02,18134.05,18288.63,18122.59,18288.63
11,2015-03-03,18281.95,18281.95,18136.88,18203.37
12,2015-03-04,18203.37,18203.37,18029.5,18096.9
13,2015-03-05,18096.9,18160.35,18087.65,18135.72
14,2015-03-06,18135.72,18135.72,17825.15,17856.78
15,2015-03-07,18135.72,18135.72,17825.15,17856.78
16,2015-03-08,18135.72,18135.72,17825.15,17856.78
17,2015-03-09,17856.56,18031.04,17856.56,17995.72
18,2015-03-10,17989.56,17989.56,17662.94,17662.94
19,2015-03-11,17662.94,17731.78,17627.0,17635.39
20,2015-03-12,17626.84,17900.1,17620.49,17895.22
21,2015-03-13,17889.05,17889.05,17629.89,17749.31
22,2015-03-14,17889.05,17889.05,17629.89,17749.31
23,2015-03-15,17889.05,17889.05,17629.89,17749.31
24,2015-03-16,17751.24,17988.5,17751.24,17977.42
25,2015-03-17,17972.22,17972.22,17785.79,17849.08
26,2015-03-18,17846.8,18097.12,17697.52,18076.19
27,2015-03-19,18072.58,18072.99,17934.24,17959.03
28,2015-03-20,17961.13,18197.29,17961.13,18127.65
29,2015-03-21,17961.13,18197.29,17961.13,18127.65
30,2015-03-22,17961.13,18197.29,17961.13,18127.65
31,2015-03-23,18136.73,18205.93,18116.04,18116.04
32,2015-03-24,18110.87,18149.24,18010.44,18011.14
33,2015-03-25,18012.61,18041.97,17718.54,17718.54
34,2015-03-26,17716.27,17759.51,17579.27,17678.23
35,2015-03-27,17673.63,17729.14,17630.49,17712.66
36,2015-03-28,17673.63,17729.14,17630.49,17712.66
37,2015-03-29,17673.63,17729.14,17630.49,17712.66
38,2015-03-30,17727.48,18008.64,17727.48,17976.31
39,2015-03-31,17965.37,17965.37,17773.02,17776.12
40,2015-04-01,17778.52,17778.52,17585.01,17698.18
41,2015-04-02,17699.52,17815.03,17673.49,17763.24
42,2015-04-03,17699.52,17815.03,17673.49,17763.24
43,2015-04-04,17699.52,17815.03,17673.49,17763.24
44,2015-04-05,17699.52,17815.03,17673.49,17763.24
45,2015-04-06,17755.5,17941.79,17646.8,17880.85
46,2015-04-07,17884.32,17983.12,17871.21,17875.42
47,2015-04-08,17877.62,17976.2,17822.23,17902.51
48,2015-04-09,17897.7,17984.22,17823.1,17958.73
49,2015-04-10,17956.73,18066.76,17945.55,18057.65
50,2015-04-11,17956.73,18066.76,17945.55,18057.65
51,2015-04-12,17956.73,18066.76,17945.55,18057.65
52,2015-04-13,18052.32,18107.57,17974.81,17977.04
53,2015-04-14,17979.11,18075.6,17905.48,18036.7
54,2015-04-15,18045.71,18160.52,18045.71,18112.61
55,2015-04-16,18106.27,18169.26,18063.86,18105.77
56,2015-04-17,18102.56,18102.56,17748.53,17826.3
57,2015-04-18,18102.56,18102.56,17748.53,17826.3
58,2015-04-19,18102.56,18102.56,17748.53,17826.3
59,2015-04-20,17841.18,18092.22,17841.18,18034.93
60,2015-04-21,18034.23,18109.7,17929.63,17949.59
61,2015-04-22,17950.82,18056.02,17887.76,18038.27
62,2015-04-23,18031.9,18133.03,17966.77,18058.69
63,2015-04-24,18056.42,18108.87,18009.08,18080.14
64,2015-04-25,18056.42,18108.87,18009.08,18080.14
65,2015-04-26,18056.42,18108.87,18009.08,18080.14
66,2015-04-27,18097.89,18175.56,18024.66,18037.97
67,2015-04-28,18035.9,18119.65,17917.36,18110.14
68,2015-04-29,18093.69,18096.46,17953.69,18035.53
69,2015-04-30,18033.33,18033.33,17774.89,17840.52
70,2015-05-01,17859.27,18028.89,17859.27,18024.06
71,2015-05-02,17859.27,18028.89,17859.27,18024.06
72,2015-05-03,17859.27,18028.89,17859.27,18024.06
73,2015-05-04,18026.02,18133.76,18026.02,18070.4
74,2015-05-05,18062.53,18086.01,17905.71,17928.2
75,2015-05-06,17934.81,18019.75,17733.12,17841.98
76,2015-05-07,17840.25,17973.07,17796.94,17924.06
77,2015-05-08,17933.64,18205.23,17933.64,18191.11
78,2015-05-09,17933.64,18205.23,17933.64,18191.11
79,2015-05-10,17933.64,18205.23,17933.64,18191.11
80,2015-05-11,18187.78,18199.95,18089.11,18105.17
81,2015-05-12,18096.16,18119.18,17924.8,18068.23
82,2015-05-13,18070.37,18132.79,18039.2,18060.49
83,2015-05-14,18062.49,18255.21,18062.49,18252.24
84,2015-05-15,18251.97,18272.72,18215.07,18272.56
85,2015-05-16,18251.97,18272.72,18215.07,18272.56
86,2015-05-17,18251.97,18272.72,18215.07,18272.56
87,2015-05-18,18267.25,18325.54,18244.26,18298.88
88,2015-05-19,18300.48,18351.36,18261.35,18312.39
89,2015-05-20,18315.06,18350.13,18272.56,18285.4
90,2015-05-21,18285.87,18314.89,18249.9,18285.74
91,2015-05-22,18286.87,18286.87,18217.14,18232.02
92,2015-05-23,18286.87,18286.87,18217.14,18232.02
93,2015-05-24,18286.87,18286.87,18217.14,18232.02
94,2015-05-25,18286.87,18286.87,18217.14,18232.02
95,2015-05-26,18229.75,18229.75,17990.02,18041.54
96,2015-05-27,18045.08,18190.35,18045.08,18162.99
97,2015-05-28,18154.14,18154.14,18066.4,18126.12
98,2015-05-29,18128.12,18128.12,17967.74,18010.68
99,2015-05-30,18128.12,18128.12,17967.74,18010.68
100,2015-05-31,18128.12,18128.12,17967.74,18010.68
101,2015-06-01,18017.82,18105.83,17982.06,18040.37
102,2015-06-02,18033.33,18091.87,17925.33,18011.94
103,2015-06-03,18018.42,18168.09,18010.42,18076.27
104,2015-06-04,18072.47,18087.15,17876.95,17905.58
105,2015-06-05,17905.38,17940.78,17822.9,17849.46
106,2015-06-06,17905.38,17940.78,17822.9,17849.46
107,2015-06-07,17905.38,17940.78,17822.9,17849.46
108,2015-06-08,17849.46,17852.35,17760.61,17766.55
109,2015-06-09,17766.95,17817.83,17714.97,17764.04
110,2015-06-10,17765.38,18045.14,17765.38,18000.4
111,2015-06-11,18001.27,18109.77,18001.27,18039.37
112,2015-06-12,18035.83,18035.83,17857.07,17898.84
113,2015-06-13,18035.83,18035.83,17857.07,17898.84
114,2015-06-14,18035.83,18035.83,17857.07,17898.84
115,2015-06-15,17890.76,17890.76,17698.42,17791.17
116,2015-06-16,17787.43,17919.62,17774.12,17904.48
117,2015-06-17,17909.58,17998.0,17839.65,17935.74
118,2015-06-18,17944.61,18174.73,17944.61,18115.84
119,2015-06-19,18116.24,18117.71,18010.58,18015.95
120,2015-06-20,18116.24,18117.71,18010.58,18015.95
121,2015-06-21,18116.24,18117.71,18010.58,18015.95
122,2015-06-22,18027.63,18181.67,18027.63,18119.78
123,2015-06-23,18121.78,18188.81,18108.1,18144.07
124,2015-06-24,18139.1,18139.1,17966.07,17966.07
125,2015-06-25,17977.11,18036.1,17890.36,17890.36
126,2015-06-26,17892.03,18013.15,17892.03,17946.68
127,2015-06-27,17892.03,18013.15,17892.03,17946.68
128,2015-06-28,17892.03,18013.15,17892.03,17946.68
129,2015-06-29,17936.74,17936.74,17590.55,17596.35
130,2015-06-30,17599.96,17714.66,17576.5,17619.51
131,2015-07-01,17638.12,17801.83,17638.12,17757.91
132,2015-07-02,17763.32,17825.49,17687.52,17730.11
133,2015-07-03,17763.32,17825.49,17687.52,17730.11
134,2015-07-04,17763.32,17825.49,17687.52,17730.11
135,2015-07-05,17763.32,17825.49,17687.52,17730.11
136,2015-07-06,17728.08,17734.36,17564.36,17683.58
137,2015-07-07,17684.92,17793.45,17465.68,17776.91
138,2015-07-08,17759.01,17759.01,17496.22,17515.42
139,2015-07-09,17530.38,17764.85,17530.38,17548.62
140,2015-07-10,17561.12,17797.49,17561.12,17760.41
141,2015-07-11,17561.12,17797.49,17561.12,17760.41
142,2015-07-12,17561.12,17797.49,17561.12,17760.41
143,2015-07-13,17787.27,17987.57,17787.27,17977.68
144,2015-07-14,17974.61,18072.82,17956.17,18053.58
145,2015-07-15,18053.38,18090.39,18010.15,18050.17
146,2015-07-16,18078.16,18131.61,18065.33,18120.25
147,2015-07-17,18117.58,18121.12,18032.06,18086.45
148,2015-07-18,18117.58,18121.12,18032.06,18086.45
149,2015-07-19,18117.58,18121.12,18032.06,18086.45
150,2015-07-20,18085.91,18137.12,18064.5,18100.41
151,2015-07-21,18096.67,18096.67,17868.34,17919.29
152,2015-07-22,17918.35,17919.35,17807.41,17851.04
153,2015-07-23,17853.78,17860.95,17705.03,17731.92
154,2015-07-24,17731.05,17756.54,17553.73,17568.53
155,2015-07-25,17731.05,17756.54,17553.73,17568.53
156,2015-07-26,17731.05,17756.54,17553.73,17568.53
157,2015-07-27,17561.78,17561.78,17399.17,17440.59
158,2015-07-28,17449.81,17650.07,17449.81,17630.27
159,2015-07-29,17631.4,17776.78,17629.2,17751.39
160,2015-07-30,17743.24,17761.25,17640.85,17745.98
161,2015-07-31,17755.87,17783.59,17671.59,17689.86
162,2015-08-01,17755.87,17783.59,17671.59,17689.86
163,2015-08-02,17755.87,17783.59,17671.59,17689.86
164,2015-08-03,17696.74,17704.76,17496.61,17598.2
165,2015-08-04,17596.93,17635.78,17505.5,17550.69
166,2015-08-05,17555.24,17661.37,17492.9,17540.47
167,2015-08-06,17542.61,17572.04,17362.86,17419.75
168,2015-08-07,17414.94,17414.94,17279.08,17373.38
169,2015-08-08,17414.94,17414.94,17279.08,17373.38
170,2015-08-09,17414.94,17414.94,17279.08,17373.38
171,2015-08-10,17375.18,17629.13,17375.18,17615.17
172,2015-08-11,17593.59,17593.59,17352.63,17402.84
173,2015-08-12,17382.93,17423.9,17125.81,17402.51
174,2015-08-13,17401.64,17481.78,17341.34,17408.25
175,2015-08-14,17410.12,17492.9,17394.06,17477.4
176,2015-08-15,17410.12,17492.9,17394.06,17477.4
177,2015-08-16,17410.12,17492.9,17394.06,17477.4
178,2015-08-17,17472.66,17551.4,17341.72,17545.18
179,2015-08-18,17537.3,17568.4,17486.42,17511.34
180,2015-08-19,17508.74,17517.19,17282.42,17348.73
181,2015-08-20,17345.32,17345.32,16990.69,16990.69
182,2015-08-21,16990.69,16990.69,16459.55,16459.75
183,2015-08-22,16990.69,16990.69,16459.55,16459.75
184,2015-08-23,16990.69,16990.69,16459.55,16459.75
185,2015-08-24,16459.75,16459.75,15370.33,15871.35
186,2015-08-25,15882.27,16312.94,15651.24,15666.44
187,2015-08-26,15676.26,16303.75,15676.26,16285.51
188,2015-08-27,16285.51,16666.69,16285.51,16654.77
189,2015-08-28,16649.42,16669.97,16535.18,16643.01
190,2015-08-29,16649.42,16669.97,16535.18,16643.01
191,2015-08-30,16649.42,16669.97,16535.18,16643.01
192,2015-08-31,16632.02,16632.02,16444.05,16528.03
193,2015-09-01,16528.03,16528.03,15979.95,16058.35
194,2015-09-02,16058.35,16352.58,16058.35,16351.38
195,2015-09-03,16364.34,16550.07,16317.31,16374.76
196,2015-09-04,16371.76,16371.76,16026.61,16102.38
197,2015-09-05,16371.76,16371.76,16026.61,16102.38
198,2015-09-06,16371.76,16371.76,16026.61,16102.38
199,2015-09-07,16371.76,16371.76,16026.61,16102.38
200,2015-09-08,16109.93,16503.41,16109.93,16492.68
201,2015-09-09,16505.04,16664.65,16220.1,16253.57
202,2015-09-10,16252.57,16441.94,16212.08,16330.4
203,2015-09-11,16330.4,16434.76,16244.65,16433.09
204,2015-09-12,16330.4,16434.76,16244.65,16433.09
205,2015-09-13,16330.4,16434.76,16244.65,16433.09
206,2015-09-14,16450.86,16450.86,16330.87,16370.96
207,2015-09-15,16382.58,16644.11,16382.58,16599.85
208,2015-09-16,16599.51,16755.98,16593.9,16739.95
209,2015-09-17,16738.08,16933.43,16639.93,16674.74
210,2015-09-18,16674.74,16674.74,16343.76,16384.58
211,2015-09-19,16674.74,16674.74,16343.76,16384.58
212,2015-09-20,16674.74,16674.74,16343.76,16384.58
213,2015-09-21,16406.1,16578.6,16391.88,16510.19
214,2015-09-22,16477.45,16477.45,16221.73,16330.47
215,2015-09-23,16332.81,16355.29,16211.98,16279.89
216,2015-09-24,16257.11,16257.11,16016.36,16201.32
217,2015-09-25,16205.07,16465.23,16205.07,16314.67
218,2015-09-26,16205.07,16465.23,16205.07,16314.67
219,2015-09-27,16205.07,16465.23,16205.07,16314.67
220,2015-09-28,16313.26,16313.26,15981.85,16001.89
221,2015-09-29,16001.76,16118.89,15942.37,16049.13
222,2015-09-30,16057.08,16297.6,16057.08,16284.7
223,2015-10-01,16278.62,16348.87,16073.82,16272.01
224,2015-10-02,16258.25,16472.77,16013.66,16472.37
225,2015-10-03,16258.25,16472.77,16013.66,16472.37
226,2015-10-04,16258.25,16472.77,16013.66,16472.37
227,2015-10-05,16502.1,16798.37,16502.1,16776.43
228,2015-10-06,16774.02,16865.09,16746.03,16790.19
229,2015-10-07,16805.42,16963.3,16765.0,16912.29
230,2015-10-08,16904.17,17081.28,16859.34,17050.75
231,2015-10-09,17054.69,17110.88,17027.23,17084.49
232,2015-10-10,17054.69,17110.88,17027.23,17084.49
233,2015-10-11,17054.69,17110.88,17027.23,17084.49
234,2015-10-12,17082.29,17139.21,17064.58,17131.86
235,2015-10-13,17113.55,17172.81,17034.45,17081.89
236,2015-10-14,17079.08,17111.38,16887.67,16924.75
237,2015-10-15,16944.86,17144.42,16933.57,17141.75
238,2015-10-16,17141.75,17220.02,17107.35,17215.97
239,2015-10-17,17141.75,17220.02,17107.35,17215.97
240,2015-10-18,17141.75,17220.02,17107.35,17215.97
241,2015-10-19,17209.43,17235.95,17129.19,17230.54
242,2015-10-20,17228.47,17264.88,17147.99,17217.11
243,2015-10-21,17225.93,17314.99,17153.13,17168.61
244,2015-10-22,17180.88,17505.18,17180.88,17489.16
245,2015-10-23,17525.11,17679.37,17525.11,17646.7
246,2015-10-24,17525.11,17679.37,17525.11,17646.7
247,2015-10-25,17525.11,17679.37,17525.11,17646.7
248,2015-10-26,17649.57,17660.7,17602.51,17623.05
249,2015-10-27,17608.89,17635.18,17540.57,17581.43
250,2015-10-28,17586.69,17779.95,17556.71,17779.52
251,2015-10-29,17771.5,17786.0,17684.72,17755.8
252,2015-10-30,17756.6,17799.96,17662.87,17663.54
253,2015-10-31,17756.6,17799.96,17662.87,17663.54
254,2015-11-01,17756.6,17799.96,17662.87,17663.54
255,2015-11-02,17672.62,17845.9,17655.02,17828.76
256,2015-11-03,17819.74,17977.85,17796.02,17918.15
257,2015-11-04,17929.58,17964.12,17828.83,17867.58
258,2015-11-05,17871.25,17929.51,17779.19,17863.43
259,2015-11-06,17855.22,17912.04,17768.6,17910.33
260,2015-11-07,17855.22,17912.04,17768.6,17910.33
261,2015-11-08,17855.22,17912.04,17768.6,17910.33
262,2015-11-09,17900.78,17900.78,17667.78,17730.48
263,2015-11-10,17724.13,17768.66,17657.72,17758.21
264,2015-11-11,17769.5,17807.18,17696.91,17702.22
265,2015-11-12,17691.93,17691.93,17443.5,17448.07
266,2015-11-13,17439.25,17439.25,17238.89,17245.24
267,2015-11-14,17439.25,17439.25,17238.89,17245.24
268,2015-11-15,17439.25,17439.25,17238.89,17245.24
269,2015-11-16,17229.94,17483.01,17210.43,17483.01
270,2015-11-17,17486.99,17599.33,17451.41,17489.5
271,2015-11-18,17485.49,17752.16,17485.49,17737.16
272,2015-11-19,17739.83,17772.97,17681.98,17732.75
273,2015-11-20,17732.75,17914.34,17732.75,17823.81
274,2015-11-21,17732.75,17914.34,17732.75,17823.81
275,2015-11-22,17732.75,17914.34,17732.75,17823.81
276,2015-11-23,17823.61,17868.18,17751.53,17792.68
277,2015-11-24,17770.9,17862.6,17683.51,17812.19
278,2015-11-25,17820.81,17854.92,17801.83,17813.39
279,2015-11-26,17820.81,17854.92,17801.83,17813.39
280,2015-11-27,17806.04,17830.36,17749.32,17798.49
281,2015-11-28,17806.04,17830.36,17749.32,17798.49
282,2015-11-29,17806.04,17830.36,17749.32,17798.49
283,2015-11-30,17802.84,17837.24,17719.79,17719.92
284,2015-12-01,17719.72,17895.5,17719.72,17888.35
285,2015-12-02,17883.14,17901.58,17708.2,17729.68
286,2015-12-03,17741.57,17780.59,17425.56,17477.67
