,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-02-20,18336.5,18360.919922,18297.669922,18332.300781,18332.300781,146300000.0
1,2015-02-21,18336.5,18360.919922,18297.669922,18332.300781,18332.300781,146300000.0
2,2015-02-22,18336.5,18360.919922,18297.669922,18332.300781,18332.300781,146300000.0
3,2015-02-23,18499.580078,18509.080078,18402.019531,18466.919922,18466.919922,157500000.0
4,2015-02-24,18468.390625,18603.480469,18427.980469,18603.480469,18603.480469,145200000.0
5,2015-02-25,18636.339844,18648.769531,18552.810547,18585.199219,18585.199219,139100000.0
6,2015-02-26,18587.869141,18790.830078,18587.130859,18785.789063,18785.789063,155500000.0
7,2015-02-27,18844.279297,18865.390625,18714.640625,18797.939453,18797.939453,174700000.0
8,2015-02-28,18844.279297,18865.390625,18714.640625,18797.939453,18797.939453,174700000.0
9,2015-03-01,18844.279297,18865.390625,18714.640625,18797.939453,18797.939453,174700000.0
10,2015-03-02,18869.400391,18939.169922,18775.230469,18826.880859,18826.880859,134800000.0
11,2015-03-03,18910.519531,18910.519531,18730.570313,18815.160156,18815.160156,154800000.0
12,2015-03-04,18716.779297,18732.660156,18586.839844,18703.599609,18703.599609,143300000.0
13,2015-03-05,18658.160156,18767.5,18655.359375,18751.839844,18751.839844,121900000.0
14,2015-03-06,18814.849609,18979.640625,18808.300781,18971.0,18971.0,147100000.0
15,2015-03-07,18814.849609,18979.640625,18808.300781,18971.0,18971.0,147100000.0
16,2015-03-08,18814.849609,18979.640625,18808.300781,18971.0,18971.0,147100000.0
17,2015-03-09,18872.960938,18878.150391,18733.869141,18790.550781,18790.550781,118000000.0
18,2015-03-10,18891.009766,18924.380859,18577.060547,18665.109375,18665.109375,148300000.0
19,2015-03-11,18604.869141,18836.929688,18583.519531,18723.519531,18723.519531,130000000.0
20,2015-03-12,18787.099609,19008.130859,18774.419922,18991.109375,18991.109375,149700000.0
21,2015-03-13,19119.580078,19335.800781,19042.25,19254.25,19254.25,227800000.0
22,2015-03-14,19119.580078,19335.800781,19042.25,19254.25,19254.25,227800000.0
23,2015-03-15,19119.580078,19335.800781,19042.25,19254.25,19254.25,227800000.0
24,2015-03-16,19245.380859,19349.199219,19226.710938,19246.060547,19246.060547,129000000.0
25,2015-03-17,19425.890625,19479.890625,19373.390625,19437.0,19437.0,131800000.0
26,2015-03-18,19407.759766,19555.720703,19389.240234,19544.480469,19544.480469,134400000.0
27,2015-03-19,19514.640625,19557.169922,19312.699219,19476.560547,19476.560547,151100000.0
28,2015-03-20,19479.710938,19565.439453,19416.630859,19560.220703,19560.220703,137500000.0
29,2015-03-21,19479.710938,19565.439453,19416.630859,19560.220703,19560.220703,137500000.0
30,2015-03-22,19479.710938,19565.439453,19416.630859,19560.220703,19560.220703,137500000.0
31,2015-03-23,19607.980469,19778.599609,19584.730469,19754.359375,19754.359375,124400000.0
32,2015-03-24,19718.990234,19770.640625,19646.349609,19713.449219,19713.449219,141900000.0
33,2015-03-25,19745.75,19775.449219,19542.220703,19746.199219,19746.199219,145000000.0
34,2015-03-26,19605.599609,19623.109375,19397.009766,19471.119141,19471.119141,154800000.0
35,2015-03-27,19374.720703,19590.029297,19099.869141,19285.630859,19285.630859,178300000.0
36,2015-03-28,19374.720703,19590.029297,19099.869141,19285.630859,19285.630859,178300000.0
37,2015-03-29,19374.720703,19590.029297,19099.869141,19285.630859,19285.630859,178300000.0
38,2015-03-30,19295.210938,19474.070313,19227.289063,19411.400391,19411.400391,136300000.0
39,2015-03-31,19592.429688,19607.25,19206.990234,19206.990234,19206.990234,151600000.0
40,2015-04-01,19129.75,19195.230469,18927.949219,19034.839844,19034.839844,160400000.0
41,2015-04-02,19141.929688,19433.890625,19115.140625,19312.789063,19312.789063,147100000.0
42,2015-04-03,19289.039063,19435.080078,19289.039063,19435.080078,19435.080078,104700000.0
43,2015-04-04,19289.039063,19435.080078,19289.039063,19435.080078,19435.080078,104700000.0
44,2015-04-05,19289.039063,19435.080078,19289.039063,19435.080078,19435.080078,104700000.0
45,2015-04-06,19295.029297,19424.089844,19241.289063,19397.980469,19397.980469,96600000.0
46,2015-04-07,19539.029297,19667.480469,19501.310547,19640.539063,19640.539063,137000000.0
47,2015-04-08,19729.699219,19845.529297,19693.630859,19789.810547,19789.810547,140700000.0
48,2015-04-09,19851.119141,19957.320313,19822.490234,19937.720703,19937.720703,120000000.0
49,2015-04-10,19989.550781,20006.0,19845.310547,19907.630859,19907.630859,136200000.0
50,2015-04-11,19989.550781,20006.0,19845.310547,19907.630859,19907.630859,136200000.0
51,2015-04-12,19989.550781,20006.0,19845.310547,19907.630859,19907.630859,136200000.0
52,2015-04-13,19967.380859,19975.660156,19825.689453,19905.460938,19905.460938,107000000.0
53,2015-04-14,19828.650391,19922.5,19828.650391,19908.679688,19908.679688,111600000.0
54,2015-04-15,19838.529297,19913.419922,19823.859375,19869.759766,19869.759766,121600000.0
55,2015-04-16,19862.480469,19894.349609,19742.119141,19885.769531,19885.769531,174300000.0
56,2015-04-17,19810.400391,19815.25,19638.369141,19652.880859,19652.880859,188200000.0
57,2015-04-18,19810.400391,19815.25,19638.369141,19652.880859,19652.880859,188200000.0
58,2015-04-19,19810.400391,19815.25,19638.369141,19652.880859,19652.880859,188200000.0
59,2015-04-20,19501.0,19725.859375,19474.230469,19634.490234,19634.490234,144100000.0
60,2015-04-21,19731.570313,19909.089844,19678.220703,19909.089844,19909.089844,161600000.0
61,2015-04-22,19999.839844,20144.660156,19983.0,20133.900391,20133.900391,204400000.0
62,2015-04-23,20227.279297,20252.119141,20116.189453,20187.650391,20187.650391,200900000.0
63,2015-04-24,20142.470703,20142.470703,20013.740234,20020.039063,20020.039063,139700000.0
64,2015-04-25,20142.470703,20142.470703,20013.740234,20020.039063,20020.039063,139700000.0
65,2015-04-26,20142.470703,20142.470703,20013.740234,20020.039063,20020.039063,139700000.0
66,2015-04-27,20063.800781,20069.240234,19909.859375,19983.320313,19983.320313,123500000.0
67,2015-04-28,20068.650391,20133.779297,20031.710938,20058.949219,20058.949219,138700000.0
68,2015-04-29,20068.650391,20133.779297,20031.710938,20058.949219,20058.949219,138700000.0
69,2015-04-30,19847.5,19852.660156,19502.609375,19520.009766,19520.009766,189100000.0
70,2015-05-01,19510.849609,19549.390625,19399.160156,19531.630859,19531.630859,154100000.0
71,2015-05-02,19510.849609,19549.390625,19399.160156,19531.630859,19531.630859,154100000.0
72,2015-05-03,19510.849609,19549.390625,19399.160156,19531.630859,19531.630859,154100000.0
73,2015-05-04,19510.849609,19549.390625,19399.160156,19531.630859,19531.630859,154100000.0
74,2015-05-05,19510.849609,19549.390625,19399.160156,19531.630859,19531.630859,154100000.0
75,2015-05-06,19510.849609,19549.390625,19399.160156,19531.630859,19531.630859,154100000.0
76,2015-05-07,19356.460938,19461.080078,19257.849609,19291.990234,19291.990234,165700000.0
77,2015-05-08,19315.630859,19458.75,19302.710938,19379.189453,19379.189453,181600000.0
78,2015-05-09,19315.630859,19458.75,19302.710938,19379.189453,19379.189453,181600000.0
79,2015-05-10,19315.630859,19458.75,19302.710938,19379.189453,19379.189453,181600000.0
80,2015-05-11,19637.580078,19679.630859,19586.810547,19620.910156,19620.910156,214400000.0
81,2015-05-12,19608.230469,19626.75,19467.650391,19624.839844,19624.839844,203500000.0
82,2015-05-13,19568.759766,19791.880859,19494.699219,19764.720703,19764.720703,193600000.0
83,2015-05-14,19661.519531,19717.800781,19546.820313,19570.240234,19570.240234,171700000.0
84,2015-05-15,19693.169922,19750.759766,19633.75,19732.919922,19732.919922,178400000.0
85,2015-05-16,19693.169922,19750.759766,19633.75,19732.919922,19732.919922,178400000.0
86,2015-05-17,19693.169922,19750.759766,19633.75,19732.919922,19732.919922,178400000.0
87,2015-05-18,19766.160156,19890.269531,19741.220703,19890.269531,19890.269531,206800000.0
88,2015-05-19,19977.140625,20087.699219,19946.75,20026.380859,20026.380859,184100000.0
89,2015-05-20,20175.589844,20278.890625,20148.509766,20196.560547,20196.560547,176400000.0
90,2015-05-21,20215.460938,20320.900391,20175.779297,20202.869141,20202.869141,181800000.0
91,2015-05-22,20208.849609,20278.310547,20130.839844,20264.410156,20264.410156,141500000.0
92,2015-05-23,20208.849609,20278.310547,20130.839844,20264.410156,20264.410156,141500000.0
93,2015-05-24,20208.849609,20278.310547,20130.839844,20264.410156,20264.410156,141500000.0
94,2015-05-25,20331.919922,20417.769531,20318.539063,20413.769531,20413.769531,139800000.0
95,2015-05-26,20431.269531,20473.849609,20378.769531,20437.480469,20437.480469,130800000.0
96,2015-05-27,20380.640625,20513.220703,20363.210938,20472.580078,20472.580078,184700000.0
97,2015-05-28,20590.279297,20655.330078,20473.269531,20551.460938,20551.460938,241500000.0
98,2015-05-29,20510.269531,20636.410156,20508.400391,20563.150391,20563.150391,241100000.0
99,2015-05-30,20510.269531,20636.410156,20508.400391,20563.150391,20563.150391,241100000.0
100,2015-05-31,20510.269531,20636.410156,20508.400391,20563.150391,20563.150391,241100000.0
101,2015-06-01,20444.539063,20595.410156,20410.269531,20569.869141,20569.869141,173400000.0
102,2015-06-02,20604.669922,20619.609375,20470.259766,20543.189453,20543.189453,200400000.0
103,2015-06-03,20443.150391,20506.349609,20397.730469,20473.509766,20473.509766,163600000.0
104,2015-06-04,20539.939453,20552.460938,20438.210938,20488.189453,20488.189453,171700000.0
105,2015-06-05,20398.759766,20480.25,20363.179688,20460.900391,20460.900391,165800000.0
106,2015-06-06,20398.759766,20480.25,20363.179688,20460.900391,20460.900391,165800000.0
107,2015-06-07,20398.759766,20480.25,20363.179688,20460.900391,20460.900391,165800000.0
108,2015-06-08,20537.849609,20544.939453,20359.060547,20457.189453,20457.189453,139800000.0
109,2015-06-09,20293.050781,20332.419922,20095.480469,20096.300781,20096.300781,160700000.0
110,2015-06-10,20126.359375,20264.919922,20016.320313,20046.359375,20046.359375,183200000.0
111,2015-06-11,20183.609375,20382.970703,20178.039063,20382.970703,20382.970703,150400000.0
112,2015-06-12,20431.779297,20437.259766,20331.189453,20407.080078,20407.080078,189900000.0
113,2015-06-13,20431.779297,20437.259766,20331.189453,20407.080078,20407.080078,189900000.0
114,2015-06-14,20431.779297,20437.259766,20331.189453,20407.080078,20407.080078,189900000.0
115,2015-06-15,20205.099609,20401.480469,20205.099609,20387.789063,20387.789063,115700000.0
116,2015-06-16,20332.830078,20368.210938,20234.160156,20257.939453,20257.939453,133000000.0
117,2015-06-17,20306.099609,20323.080078,20126.570313,20219.269531,20219.269531,124200000.0
118,2015-06-18,20193.589844,20200.509766,19990.550781,19990.820313,19990.820313,134500000.0
119,2015-06-19,20152.410156,20194.449219,20075.910156,20174.240234,20174.240234,160900000.0
120,2015-06-20,20152.410156,20194.449219,20075.910156,20174.240234,20174.240234,160900000.0
121,2015-06-21,20152.410156,20194.449219,20075.910156,20174.240234,20174.240234,160900000.0
122,2015-06-22,20174.140625,20433.300781,20174.140625,20428.189453,20428.189453,140500000.0
123,2015-06-23,20547.740234,20809.419922,20531.130859,20809.419922,20809.419922,183300000.0
124,2015-06-24,20889.320313,20952.710938,20838.220703,20868.029297,20868.029297,166700000.0
125,2015-06-25,20777.689453,20866.580078,20758.599609,20771.400391,20771.400391,128300000.0
126,2015-06-26,20758.429688,20785.759766,20650.0,20706.150391,20706.150391,140100000.0
127,2015-06-27,20758.429688,20785.759766,20650.0,20706.150391,20706.150391,140100000.0
128,2015-06-28,20758.429688,20785.759766,20650.0,20706.150391,20706.150391,140100000.0
129,2015-06-29,20305.970703,20361.599609,20093.160156,20109.949219,20109.949219,165300000.0
130,2015-06-30,20174.609375,20243.179688,20118.259766,20235.730469,20235.730469,168100000.0
131,2015-07-01,20291.050781,20346.740234,20225.269531,20329.320313,20329.320313,123600000.0
132,2015-07-02,20565.939453,20601.730469,20479.849609,20522.5,20522.5,137800000.0
133,2015-07-03,20476.689453,20557.509766,20431.25,20539.789063,20539.789063,145800000.0
134,2015-07-04,20476.689453,20557.509766,20431.25,20539.789063,20539.789063,145800000.0
135,2015-07-05,20476.689453,20557.509766,20431.25,20539.789063,20539.789063,145800000.0
136,2015-07-06,20200.150391,20310.720703,20012.230469,20112.119141,20112.119141,163700000.0
137,2015-07-07,20354.230469,20428.0,20337.179688,20376.589844,20376.589844,139300000.0
138,2015-07-08,20282.490234,20310.890625,19737.640625,19737.640625,19737.640625,207600000.0
139,2015-07-09,19422.779297,19855.5,19115.199219,19855.5,19855.5,252900000.0
140,2015-07-10,19829.929688,19978.240234,19720.150391,19779.830078,19779.830078,193000000.0
141,2015-07-11,19829.929688,19978.240234,19720.150391,19779.830078,19779.830078,193000000.0
142,2015-07-12,19829.929688,19978.240234,19720.150391,19779.830078,19779.830078,193000000.0
143,2015-07-13,19929.919922,20120.150391,19911.390625,20089.769531,20089.769531,139000000.0
144,2015-07-14,20355.330078,20435.529297,20322.199219,20385.330078,20385.330078,161800000.0
145,2015-07-15,20478.849609,20496.599609,20401.089844,20463.330078,20463.330078,127100000.0
146,2015-07-16,20588.980469,20612.5,20522.25,20600.119141,20600.119141,136800000.0
147,2015-07-17,20646.630859,20658.949219,20611.220703,20650.919922,20650.919922,118100000.0
148,2015-07-18,20646.630859,20658.949219,20611.220703,20650.919922,20650.919922,118100000.0
149,2015-07-19,20646.630859,20658.949219,20611.220703,20650.919922,20650.919922,118100000.0
150,2015-07-20,20646.630859,20658.949219,20611.220703,20650.919922,20650.919922,118100000.0
151,2015-07-21,20763.310547,20850.0,20710.339844,20841.970703,20841.970703,134500000.0
152,2015-07-22,20657.800781,20677.839844,20576.189453,20593.669922,20593.669922,145400000.0
153,2015-07-23,20693.570313,20708.230469,20648.759766,20683.949219,20683.949219,119100000.0
154,2015-07-24,20603.630859,20631.539063,20527.779297,20544.529297,20544.529297,110700000.0
155,2015-07-25,20603.630859,20631.539063,20527.779297,20544.529297,20544.529297,110700000.0
156,2015-07-26,20603.630859,20631.539063,20527.779297,20544.529297,20544.529297,110700000.0
157,2015-07-27,20374.050781,20486.929688,20278.730469,20350.099609,20350.099609,122600000.0
158,2015-07-28,20188.570313,20423.580078,20070.619141,20328.890625,20328.890625,149800000.0
159,2015-07-29,20425.689453,20425.689453,20205.210938,20302.910156,20302.910156,132800000.0
160,2015-07-30,20450.609375,20583.570313,20443.890625,20522.830078,20522.830078,181400000.0
161,2015-07-31,20506.550781,20585.240234,20466.800781,20585.240234,20585.240234,175400000.0
162,2015-08-01,20506.550781,20585.240234,20466.800781,20585.240234,20585.240234,175400000.0
163,2015-08-02,20506.550781,20585.240234,20466.800781,20585.240234,20585.240234,175400000.0
164,2015-08-03,20540.210938,20562.199219,20396.5,20548.109375,20548.109375,173600000.0
165,2015-08-04,20462.179688,20552.039063,20448.490234,20520.359375,20520.359375,166700000.0
166,2015-08-05,20490.150391,20715.480469,20469.869141,20614.060547,20614.060547,173500000.0
167,2015-08-06,20768.769531,20817.480469,20664.439453,20664.439453,20664.439453,167000000.0
168,2015-08-07,20601.570313,20754.0,20567.509766,20724.560547,20724.560547,147000000.0
169,2015-08-08,20601.570313,20754.0,20567.509766,20724.560547,20724.560547,147000000.0
170,2015-08-09,20601.570313,20754.0,20567.509766,20724.560547,20724.560547,147000000.0
171,2015-08-10,20618.310547,20820.859375,20617.050781,20808.689453,20808.689453,138700000.0
172,2015-08-11,20920.599609,20946.929688,20582.009766,20720.75,20720.75,159200000.0
173,2015-08-12,20632.679688,20703.199219,20303.019531,20392.769531,20392.769531,170300000.0
174,2015-08-13,20392.539063,20633.910156,20306.980469,20595.550781,20595.550781,167400000.0
175,2015-08-14,20518.359375,20605.460938,20484.669922,20519.449219,20519.449219,139400000.0
176,2015-08-15,20518.359375,20605.460938,20484.669922,20519.449219,20519.449219,139400000.0
177,2015-08-16,20518.359375,20605.460938,20484.669922,20519.449219,20519.449219,139400000.0
178,2015-08-17,20600.160156,20668.869141,20541.0,20620.259766,20620.259766,106600000.0
179,2015-08-18,20640.589844,20663.179688,20545.25,20554.470703,20554.470703,113100000.0
180,2015-08-19,20467.490234,20521.970703,20218.029297,20222.630859,20222.630859,141100000.0
181,2015-08-20,20194.259766,20246.470703,20033.289063,20033.519531,20033.519531,147900000.0
182,2015-08-21,19711.339844,19737.539063,19435.830078,19435.830078,19435.830078,189900000.0
183,2015-08-22,19711.339844,19737.539063,19435.830078,19435.830078,19435.830078,189900000.0
184,2015-08-23,19711.339844,19737.539063,19435.830078,19435.830078,19435.830078,189900000.0
185,2015-08-24,19075.050781,19154.650391,18498.800781,18540.679688,18540.679688,274400000.0
186,2015-08-25,18171.660156,18835.349609,17747.5,17806.699219,17806.699219,335600000.0
187,2015-08-26,17894.289063,18442.839844,17714.300781,18376.830078,18376.830078,246800000.0
188,2015-08-27,18680.470703,18810.050781,18486.460938,18574.439453,18574.439453,192100000.0
189,2015-08-28,18908.730469,19192.820313,18901.089844,19136.320313,19136.320313,205200000.0
190,2015-08-29,18908.730469,19192.820313,18901.089844,19136.320313,19136.320313,205200000.0
191,2015-08-30,18908.730469,19192.820313,18901.089844,19136.320313,19136.320313,205200000.0
