,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-02-20,24836.050781,24871.789063,24806.060547,24832.080078,24832.080078,975873900.0
1,2015-02-21,24836.050781,24871.789063,24806.060547,24832.080078,24832.080078,975873900.0
2,2015-02-22,24836.050781,24871.789063,24806.060547,24832.080078,24832.080078,975873900.0
3,2015-02-23,24916.240234,24916.240234,24664.679688,24836.759766,24836.759766,1019276400.0
4,2015-02-24,24776.720703,24808.300781,24673.929688,24750.070313,24750.070313,1076322400.0
5,2015-02-25,24822.279297,24869.369141,24691.779297,24778.279297,24778.279297,1387652700.0
6,2015-02-26,24718.279297,24998.640625,24709.560547,24902.060547,24902.060547,1803456500.0
7,2015-02-27,24902.609375,25101.960938,24815.029297,24823.289063,24823.289063,1504213700.0
8,2015-02-28,24902.609375,25101.960938,24815.029297,24823.289063,24823.289063,1504213700.0
9,2015-03-01,24902.609375,25101.960938,24815.029297,24823.289063,24823.289063,1504213700.0
10,2015-03-02,24996.759766,24997.830078,24715.380859,24887.439453,24887.439453,1543093900.0
11,2015-03-03,24984.619141,24984.619141,24663.429688,24702.779297,24702.779297,1499929300.0
12,2015-03-04,24656.939453,24705.960938,24439.289063,24465.380859,24465.380859,1618240300.0
13,2015-03-05,24274.900391,24393.849609,24133.710938,24193.039063,24193.039063,1923405000.0
14,2015-03-06,24235.759766,24294.359375,24126.089844,24164.0,24164.0,1620647200.0
15,2015-03-07,24235.759766,24294.359375,24126.089844,24164.0,24164.0,1620647200.0
16,2015-03-08,24235.759766,24294.359375,24126.089844,24164.0,24164.0,1620647200.0
17,2015-03-09,23982.5,24205.859375,23910.160156,24123.050781,24123.050781,1619496400.0
18,2015-03-10,24150.679688,24152.400391,23869.820313,23896.980469,23896.980469,1521299200.0
19,2015-03-11,23807.099609,23899.859375,23703.839844,23717.970703,23717.970703,1678330500.0
20,2015-03-12,23709.169922,23880.25,23677.060547,23797.960938,23797.960938,1619061000.0
21,2015-03-13,23808.970703,23918.710938,23790.830078,23823.210938,23823.210938,1538401000.0
22,2015-03-14,23808.970703,23918.710938,23790.830078,23823.210938,23823.210938,1538401000.0
23,2015-03-15,23808.970703,23918.710938,23790.830078,23823.210938,23823.210938,1538401000.0
24,2015-03-16,23771.400391,23970.050781,23711.269531,23949.550781,23949.550781,1187740300.0
25,2015-03-17,24106.470703,24106.470703,23822.779297,23901.490234,23901.490234,1188627100.0
26,2015-03-18,23938.630859,24210.75,23938.630859,24120.080078,24120.080078,1668404600.0
27,2015-03-19,24325.560547,24500.230469,24248.839844,24468.890625,24468.890625,1826036300.0
28,2015-03-20,24417.529297,24524.550781,24351.5,24375.240234,24375.240234,2006074900.0
29,2015-03-21,24417.529297,24524.550781,24351.5,24375.240234,24375.240234,2006074900.0
30,2015-03-22,24417.529297,24524.550781,24351.5,24375.240234,24375.240234,2006074900.0
31,2015-03-23,24538.339844,24559.769531,24436.419922,24494.509766,24494.509766,1461178100.0
32,2015-03-24,24484.679688,24490.150391,24294.949219,24399.599609,24399.599609,1559006100.0
33,2015-03-25,24410.529297,24613.689453,24377.919922,24528.230469,24528.230469,1421279500.0
34,2015-03-26,24442.509766,24592.009766,24399.839844,24497.080078,24497.080078,1346154100.0
35,2015-03-27,24541.439453,24549.880859,24420.470703,24486.199219,24486.199219,1610426400.0
36,2015-03-28,24541.439453,24549.880859,24420.470703,24486.199219,24486.199219,1610426400.0
37,2015-03-29,24541.439453,24549.880859,24420.470703,24486.199219,24486.199219,1610426400.0
38,2015-03-30,24727.460938,24949.349609,24725.519531,24855.119141,24855.119141,2574119600.0
39,2015-03-31,25113.199219,25113.199219,24876.369141,24900.890625,24900.890625,2557002200.0
40,2015-04-01,24955.199219,25099.060547,24926.109375,25082.75,25082.75,1713463600.0
41,2015-04-02,25214.330078,25297.800781,25152.570313,25275.640625,25275.640625,2106782000.0
42,2015-04-03,25214.330078,25297.800781,25152.570313,25275.640625,25275.640625,2106782000.0
43,2015-04-04,25214.330078,25297.800781,25152.570313,25275.640625,25275.640625,2106782000.0
44,2015-04-05,25214.330078,25297.800781,25152.570313,25275.640625,25275.640625,2106782000.0
45,2015-04-06,25214.330078,25297.800781,25152.570313,25275.640625,25275.640625,2106782000.0
46,2015-04-07,25214.330078,25297.800781,25152.570313,25275.640625,25275.640625,2106782000.0
47,2015-04-08,25708.240234,26247.630859,25640.039063,26236.859375,26236.859375,4101527400.0
48,2015-04-09,26913.279297,27922.669922,26732.230469,26944.390625,26944.390625,5024522600.0
49,2015-04-10,27373.679688,27373.679688,26812.75,27272.390625,27272.390625,3341162700.0
50,2015-04-11,27373.679688,27373.679688,26812.75,27272.390625,27272.390625,3341162700.0
51,2015-04-12,27373.679688,27373.679688,26812.75,27272.390625,27272.390625,3341162700.0
52,2015-04-13,27374.330078,28031.960938,27304.119141,28016.339844,28016.339844,4727115800.0
53,2015-04-14,27688.259766,27915.009766,27483.449219,27561.490234,27561.490234,3774122300.0
54,2015-04-15,27693.25,27807.980469,27442.519531,27618.820313,27618.820313,3926508000.0
55,2015-04-16,27557.289063,27787.980469,27470.099609,27739.710938,27739.710938,3269721300.0
56,2015-04-17,27808.240234,27969.410156,27597.679688,27653.119141,27653.119141,3105824800.0
57,2015-04-18,27808.240234,27969.410156,27597.679688,27653.119141,27653.119141,3105824800.0
58,2015-04-19,27808.240234,27969.410156,27597.679688,27653.119141,27653.119141,3105824800.0
59,2015-04-20,27770.789063,27770.789063,26959.769531,27094.929688,27094.929688,3375883900.0
60,2015-04-21,27404.150391,27925.359375,27404.150391,27850.490234,27850.490234,2737826700.0
61,2015-04-22,27821.320313,28048.460938,27727.859375,27933.849609,27933.849609,2367949700.0
62,2015-04-23,28112.380859,28213.630859,27804.029297,27827.699219,27827.699219,2442203700.0
63,2015-04-24,27978.390625,28089.369141,27591.570313,28060.980469,28060.980469,2414041400.0
64,2015-04-25,27978.390625,28089.369141,27591.570313,28060.980469,28060.980469,2414041400.0
65,2015-04-26,27978.390625,28089.369141,27591.570313,28060.980469,28060.980469,2414041400.0
66,2015-04-27,28245.140625,28588.519531,28245.140625,28433.589844,28433.589844,2790074700.0
67,2015-04-28,28448.220703,28548.449219,28251.990234,28442.75,28442.75,3045477300.0
68,2015-04-29,28453.099609,28453.099609,28201.759766,28400.339844,28400.339844,2094900900.0
69,2015-04-30,28289.140625,28317.869141,27997.900391,28133.0,28133.0,2561272000.0
70,2015-05-01,28289.140625,28317.869141,27997.900391,28133.0,28133.0,2561272000.0
71,2015-05-02,28289.140625,28317.869141,27997.900391,28133.0,28133.0,2561272000.0
72,2015-05-03,28289.140625,28317.869141,27997.900391,28133.0,28133.0,2561272000.0
73,2015-05-04,28231.259766,28343.740234,28017.199219,28123.820313,28123.820313,1999728900.0
74,2015-05-05,28295.720703,28316.630859,27598.169922,27755.539063,27755.539063,2292680300.0
75,2015-05-06,27698.099609,28054.679688,27570.410156,27640.910156,27640.910156,2265508000.0
76,2015-05-07,27567.619141,27604.490234,27207.279297,27289.970703,27289.970703,1894753100.0
