Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,3295.246094,3308.225098,3292.77002,3307.172119,3307.172119,141600.0
2018-01-02,3314.031006,3349.052979,3314.031006,3348.325928,3348.325928,202300.0
2018-01-03,3347.74292,3379.915039,3345.289063,3369.10791,3369.10791,213800.0
2018-01-04,3371.0,3392.825928,3365.294922,3385.709961,3385.709961,207000.0
2018-01-05,3386.464111,3402.069092,3380.245117,3391.75,3391.75,213100.0
2018-01-06,3386.464111,3402.069092,3380.245117,3391.75,3391.75,213100.0
2018-01-07,3386.464111,3402.069092,3380.245117,3391.75,3391.75,213100.0
2018-01-08,3391.552979,3412.730957,3384.559082,3409.47998,3409.47998,236200.0
2018-01-09,3406.112061,3417.228027,3403.586914,3413.899902,3413.899902,191500.0
2018-01-10,3414.113037,3430.214111,3398.842041,3421.833984,3421.833984,209100.0
2018-01-11,3415.584961,3426.48291,3405.638916,3425.344971,3425.344971,173800.0
2018-01-12,3423.878906,3435.424072,3417.97998,3428.940918,3428.940918,174100.0
2018-01-13,3423.878906,3435.424072,3417.97998,3428.940918,3428.940918,174100.0
2018-01-14,3423.878906,3435.424072,3417.97998,3428.940918,3428.940918,174100.0
2018-01-15,3428.950928,3442.500977,3402.312012,3410.488037,3410.488037,232000.0
2018-01-16,3403.468994,3437.583008,3401.960938,3436.593994,3436.593994,211500.0
2018-01-17,3438.575928,3465.205078,3430.510986,3444.670898,3444.670898,261000.0
2018-01-18,3449.881104,3476.545898,3448.789063,3474.753906,3474.753906,220000.0
2018-01-19,3481.620117,3498.434082,3474.291992,3487.864014,3487.864014,247500.0
2018-01-20,3481.620117,3498.434082,3474.291992,3487.864014,3487.864014,247500.0
2018-01-21,3481.620117,3498.434082,3474.291992,3487.864014,3487.864014,247500.0
2018-01-22,3476.993896,3503.385986,3475.673096,3501.362061,3501.362061,217500.0
2018-01-23,3504.343994,3547.221924,3504.343994,3546.504883,3546.504883,238700.0
2018-01-24,3553.479004,3569.489014,3527.112061,3559.465088,3559.465088,253000.0
2018-01-25,3555.167969,3571.480957,3528.034912,3548.306885,3548.306885,243400.0
2018-01-26,3535.49292,3574.905029,3534.195068,3558.128906,3558.128906,222700.0
2018-01-27,3535.49292,3574.905029,3534.195068,3558.128906,3558.128906,222700.0
2018-01-28,3535.49292,3574.905029,3534.195068,3558.128906,3558.128906,222700.0
2018-01-29,3563.639893,3587.031982,3510.269043,3523.000977,3523.000977,236000.0
2018-01-30,3511.500977,3523.051025,3484.656006,3488.009033,3488.009033,186400.0
2018-01-31,3470.509033,3495.452881,3454.726074,3480.833008,3480.833008,207300.0
2018-02-01,3478.669922,3495.093018,3424.418945,3446.97998,3446.97998,260500.0
2018-02-02,3419.225098,3463.164063,3388.860107,3462.081055,3462.081055,208100.0
2018-02-03,3419.225098,3463.164063,3388.860107,3462.081055,3462.081055,208100.0
2018-02-04,3419.225098,3463.164063,3388.860107,3462.081055,3462.081055,208100.0
2018-02-05,3411.669922,3487.720947,3406.240967,3487.49707,3487.49707,217700.0
2018-02-06,3418.01001,3440.124023,3364.216064,3370.6521,3370.6521,280600.0
2018-02-07,3412.743896,3425.538086,3304.00708,3309.26001,3309.26001,260900.0
2018-02-08,3281.045898,3307.162109,3225.711914,3262.050049,3262.050049,201300.0
2018-02-09,3172.851074,3180.110107,3062.74292,3129.851074,3129.851074,256400.0
2018-02-10,3172.851074,3180.110107,3062.74292,3129.851074,3129.851074,256400.0
2018-02-11,3172.851074,3180.110107,3062.74292,3129.851074,3129.851074,256400.0
2018-02-12,3128.371094,3168.125977,3113.60498,3154.125,3154.125,153300.0
2018-02-13,3176.106934,3219.217041,3176.106934,3184.958984,3184.958984,151500.0
2018-02-14,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-15,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-16,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-17,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-18,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-19,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-20,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-21,3188.248047,3203.49707,3171.384033,3199.158936,3199.158936,100300.0
2018-02-22,3237.569092,3269.916016,3234.11499,3268.559082,3268.559082,138700.0
