,cond_vol
0,0.02808408028884146
1,0.028476643754877445
2,0.0284630774828503
3,0.034643713474902325
4,0.0337818645293789
5,0.03293066104521943
6,0.032327448568311865
7,0.031685639860614824
8,0.0310525369928923
9,0.03265388272626619
10,0.03299400180701334
11,0.032353372709100686
12,0.03169218751057983
13,0.031359777184065435
14,0.030788798728767334
15,0.03055490709907884
16,0.031021069279124017
17,0.03063041083178334
18,0.040337376319876696
19,0.03879387485489339
20,0.039905260896170316
21,0.040081431077263814
22,0.03868238889287802
23,0.037315990259941124
24,0.036738074874093786
25,0.03683265036563005
26,0.03563669421903613
27,0.034890062636066546
28,0.0339827872868603
29,0.03540598163068624
30,0.03737479177367808
31,0.03618109220868601
32,0.03505264030882931
33,0.036070296046198456
34,0.03495290515521825
35,0.03425789932325144
36,0.033337791342261114
37,0.0342209544947953
38,0.03383531958999517
39,0.04144533479312503
40,0.039803981052323266
41,0.03943273679415259
42,0.03856586654395426
43,0.0427238164551895
44,0.04278865788068897
45,0.041360648800993334
46,0.03983254400710502
47,0.039986990754597995
48,0.03898190603487936
49,0.03763916988857868
50,0.03645694216363387
51,0.03776815449841366
52,0.036606389152495304
53,0.035760600216300654
54,0.03486335066772964
55,0.03557722378022149
56,0.034811695877815685
57,0.033844997851851154
58,0.033028270047673315
59,0.04117553482631064
60,0.0436744633313613
61,0.041961476095131595
62,0.04109753046830721
63,0.039799264550065445
64,0.03925492356266401
65,0.039476840091328125
66,0.03863089518683886
67,0.0376483643274485
68,0.037800582612277
69,0.041147868039871555
70,0.03957977713960448
71,0.03895414214481598
72,0.037619214162901635
73,0.039052121451516986
74,0.037646247758622985
75,0.03650053319141923
76,0.04308278328454145
77,0.041596882569316186
78,0.040612651383242895
79,0.04246578734723703
80,0.046258602010639194
81,0.047786589006841095
82,0.04652598970253278
83,0.044590473237916615
84,0.044862554527799255
85,0.048005170841799526
86,0.04774190366131704
87,0.052530680366783246
88,0.05159939552697335
89,0.05216199112183663
90,0.049823526834818534
91,0.04752083089489917
92,0.0457001722806729
93,0.043900873079941644
94,0.04225259855364783
95,0.05717428770964202
96,0.057253951303700645
97,0.05485324994195504
98,0.05201204079455581
99,0.049393486868064065
100,0.04702209007183672
101,0.048876245422765315
102,0.053383961376264576
103,0.051073244104435665
104,0.04854268958567045
105,0.047305356592307904
106,0.04520954277637138
107,0.04591700864984858
108,0.046212659313866866
109,0.04434220867766259
110,0.043283637010467
111,0.042155981997223355
112,0.04054409726253556
113,0.0615711021790877
114,0.05816419291168619
115,0.055927115086194364
116,0.05582446995311837
117,0.05295433500667611
118,0.05033186906414729
119,0.04869484719608034
120,0.046626274246791354
121,0.04500061223913133
122,0.0458391630294681
123,0.043869640615131496
124,0.047157863473076544
125,0.04497219168880206
126,0.043495008107764334
127,0.04503199495767684
128,0.05229889288771755
129,0.04986476835121564
130,0.049915894434784544
131,0.047737853748634804
132,0.045515738633491856
133,0.04401625497851138
