,Date,forecast result
0,2020-10-20,0.028338125899833724
1,2020-10-21,0.028632199397610473
2,2020-10-22,0.032762550274768834
3,2020-10-23,0.034153684687315014
4,2020-10-24,0.03324897415397089
5,2020-10-25,0.03220517608709271
6,2020-10-26,0.03180014208573365
7,2020-10-27,0.032532350219738965
8,2020-10-28,0.03136389575923124
9,2020-10-29,0.034283795123403266
10,2020-10-30,0.035582266496765234
11,2020-10-31,0.0333592212130488
12,2020-11-01,0.03110583644748075
13,2020-11-02,0.03106133557767904
14,2020-11-03,0.03151244948757962
15,2020-11-04,0.030435850437279532
16,2020-11-05,0.03128319368243953
17,2020-11-06,0.03195093184407094
18,2020-11-07,0.03965521554467188
19,2020-11-08,0.037694061328755094
20,2020-11-09,0.03885260335323773
21,2020-11-10,0.04443509271324975
22,2020-11-11,0.04012955727499527
23,2020-11-12,0.03746337591863796
24,2020-11-13,0.036892152848896256
25,2020-11-14,0.03635527404339336
26,2020-11-15,0.03483140507749999
27,2020-11-16,0.03407249065602828
28,2020-11-17,0.03471943931048114
29,2020-11-18,0.03861245295370478
30,2020-11-19,0.03859550356793239
31,2020-11-20,0.0353283772995528
32,2020-11-21,0.0349752501614574
33,2020-11-22,0.036016060376818856
34,2020-11-23,0.03424347989924182
35,2020-11-24,0.03412710217692735
36,2020-11-25,0.03393490880630958
37,2020-11-26,0.03351577007086104
38,2020-11-27,0.035853118834181304
39,2020-11-28,0.040426509997213644
40,2020-11-29,0.03896620523131136
41,2020-11-30,0.03828310918652835
42,2020-12-01,0.04265482281352965
43,2020-12-02,0.04210390843643706
44,2020-12-03,0.04291156911923951
45,2020-12-04,0.040145088731456356
46,2020-12-05,0.03929939839816054
47,2020-12-06,0.03886439273048597
48,2020-12-07,0.0380714920855601
49,2020-12-08,0.036991600143486965
50,2020-12-09,0.03623501857189128
51,2020-12-10,0.038451028412314146
52,2020-12-11,0.035732647045834634
53,2020-12-12,0.03646264373191893
54,2020-12-13,0.03409346022299418
55,2020-12-14,0.03574180055825823
56,2020-12-15,0.034350054463797255
57,2020-12-16,0.0350774954096544
58,2020-12-17,0.04024652313325954
59,2020-12-18,0.04266965184286484
60,2020-12-19,0.043166759270595656
61,2020-12-20,0.040473647127288355
62,2020-12-21,0.03976140545082293
63,2020-12-22,0.04017620897793172
64,2020-12-23,0.038485482843772977
65,2020-12-24,0.03909319759678888
66,2020-12-25,0.037665480638663214
67,2020-12-26,0.03687480491070452
68,2020-12-27,0.0381128040284542
69,2020-12-28,0.04072939010855078
70,2020-12-29,0.03852449694441973
71,2020-12-30,0.038227750372951
72,2020-12-31,0.037744356562186804
73,2021-01-01,0.038217360544478815
74,2021-01-02,0.037528653443465544
75,2021-01-03,0.04390522745985655
76,2021-01-04,0.04237329932833018
77,2021-01-05,0.04144110346350369
78,2021-01-06,0.04001433299724885
79,2021-01-07,0.04186339364312421
80,2021-01-08,0.045715327147304766
81,2021-01-09,0.05010335558731555
82,2021-01-10,0.04523300194725894
83,2021-01-11,0.04434212669557446
84,2021-01-12,0.045473554406524924
85,2021-01-13,0.047942291057462914
86,2021-01-14,0.049195955797934565
87,2021-01-15,0.05176006287868689
88,2021-01-16,0.05198456913262788
89,2021-01-17,0.05135002231039323
90,2021-01-18,0.048508850215600974
91,2021-01-19,0.0483406155754244
92,2021-01-20,0.04483277900216411
93,2021-01-21,0.04387459684457128
94,2021-01-22,0.04277536729553147
95,2021-01-23,0.05765926918693916
96,2021-01-24,0.055423135608325964
97,2021-01-25,0.057043819291098564
98,2021-01-26,0.05211722577910207
99,2021-01-27,0.048283497132441275
100,2021-01-28,0.05121557255413412
101,2021-01-29,0.05070127257930048
102,2021-01-30,0.059371004840114344
103,2021-01-31,0.05092972327201323
104,2021-02-01,0.04750944767484414
105,2021-02-02,0.050334514828304464
106,2021-02-03,0.04509284253203323
107,2021-02-04,0.04456841841263579
108,2021-02-05,0.04670407503853849
109,2021-02-06,0.04320791143976346
110,2021-02-07,0.042947631739302904
111,2021-02-08,0.04097448682221652
112,2021-02-09,0.05336868501498218
113,2021-02-10,0.06098704601310659
114,2021-02-11,0.05628043915096009
115,2021-02-12,0.05471690832831496
116,2021-02-13,0.05586401589735974
117,2021-02-14,0.05175152730134529
118,2021-02-15,0.048913230636371735
119,2021-02-16,0.04936327088345848
120,2021-02-17,0.04666895992896041
121,2021-02-18,0.04452553056417209
122,2021-02-19,0.04460961785445987
123,2021-02-20,0.043775122222170997
124,2021-02-21,0.04652815949106767
125,2021-02-22,0.04319599208848464
126,2021-02-23,0.04593008626421612
127,2021-02-24,0.0458851739061921
128,2021-02-25,0.052220883058549654
129,2021-02-26,0.052072175377077534
130,2021-02-27,0.0523288829112248
131,2021-02-28,0.047535061217428703
132,2021-03-01,0.044306379098173906
133,2021-03-02,0.04426061280609836
134,2021-03-03,0.0491455231591475
135,2021-03-04,0.0486327131697536
136,2021-03-05,0.04756251728477118
137,2021-03-06,0.04571550098941221
138,2021-03-07,0.042584656611602045
139,2021-03-08,0.04171731249305671
140,2021-03-09,0.042445284586005834
141,2021-03-10,0.0428985051546989
142,2021-03-11,0.04291460101575651
143,2021-03-12,0.03935314240031003
144,2021-03-13,0.03884797509728621
145,2021-03-14,0.03923057128123075
146,2021-03-15,0.03968172376897382
147,2021-03-16,0.04346942668783024
148,2021-03-17,0.041354415334630634
149,2021-03-18,0.04032538779762587
150,2021-03-19,0.03993030603282802
151,2021-03-20,0.03888424219638608
152,2021-03-21,0.03689857027531262
153,2021-03-22,0.036053144389158714
154,2021-03-23,0.036018073982318516
