,Date,forecast result
0,2020-10-20,0.03086054516369712
1,2020-10-21,0.02865420369893749
2,2020-10-22,0.02837146216384807
3,2020-10-23,0.03745498645020243
4,2020-10-24,0.03388268185913757
5,2020-10-25,0.03263414597255871
6,2020-10-26,0.03258070853734582
7,2020-10-27,0.031973982334
8,2020-10-28,0.031010496518442395
9,2020-10-29,0.03341253259353521
10,2020-10-30,0.03317884169884809
11,2020-10-31,0.03308982956677016
12,2020-11-01,0.031161679302380133
13,2020-11-02,0.031146572224279537
14,2020-11-03,0.030671255904567547
15,2020-11-04,0.031246366031144345
16,2020-11-05,0.03127248800076789
17,2020-11-06,0.030481079841156212
18,2020-11-07,0.039763277350056164
19,2020-11-08,0.03818577674180607
20,2020-11-09,0.03884283392549882
21,2020-11-10,0.04044831204600035
22,2020-11-11,0.040421932744554405
23,2020-11-12,0.03699241496301766
24,2020-11-13,0.03599726384050998
25,2020-11-14,0.03761831948025377
26,2020-11-15,0.03511863042749925
27,2020-11-16,0.03407046013142181
28,2020-11-17,0.033679145025815385
29,2020-11-18,0.036438536683631575
30,2020-11-19,0.03667158013814985
31,2020-11-20,0.03528382956759347
32,2020-11-21,0.03601049776521533
33,2020-11-22,0.03509566121980776
34,2020-11-23,0.03429911186856622
35,2020-11-24,0.033980556039747804
36,2020-11-25,0.03324607258107785
37,2020-11-26,0.033898050236993466
38,2020-11-27,0.03358471652349939
39,2020-11-28,0.04020552518945621
40,2020-11-29,0.03915770641284966
41,2020-11-30,0.038239670546591616
42,2020-12-01,0.038304900135794864
43,2020-12-02,0.04133299540928994
44,2020-12-03,0.042448954593239725
45,2020-12-04,0.04036767641433692
46,2020-12-05,0.03911173228600739
47,2020-12-06,0.038770517325055286
48,2020-12-07,0.03797839447397909
49,2020-12-08,0.036876422019573724
50,2020-12-09,0.03609444950173219
51,2020-12-10,0.03726941328907308
52,2020-12-11,0.036353768398096634
53,2020-12-12,0.036114292659807805
54,2020-12-13,0.034070956840413925
55,2020-12-14,0.0356525864728678
56,2020-12-15,0.03543697904612608
57,2020-12-16,0.034798672982771964
58,2020-12-17,0.03269346592218006
59,2020-12-18,0.03987360838413965
60,2020-12-19,0.043434995427955383
61,2020-12-20,0.04049232355326243
62,2020-12-21,0.03973833602462023
63,2020-12-22,0.03991805212641018
64,2020-12-23,0.038948302112504406
65,2020-12-24,0.03862130447772822
66,2020-12-25,0.03754193716221197
67,2020-12-26,0.036687791099183784
68,2020-12-27,0.03696548533687145
69,2020-12-28,0.03980714869845047
70,2020-12-29,0.038628854312467126
71,2020-12-30,0.03860053195917433
72,2020-12-31,0.03704828255762641
73,2021-01-01,0.03807910474298197
74,2021-01-02,0.0371770443773192
75,2021-01-03,0.03582705979613119
76,2021-01-04,0.04187693535346349
77,2021-01-05,0.042180544428909165
78,2021-01-06,0.040091866516175925
79,2021-01-07,0.04172803427020043
80,2021-01-08,0.045715862701465146
81,2021-01-09,0.050518885564572964
82,2021-01-10,0.04555032294949918
83,2021-01-11,0.0430627529190638
84,2021-01-12,0.04351919436928448
85,2021-01-13,0.04792394116883399
86,2021-01-14,0.04707457809682184
87,2021-01-15,0.05334946528099133
88,2021-01-16,0.04984432147600953
89,2021-01-17,0.050929765905230975
90,2021-01-18,0.049841127610108706
91,2021-01-19,0.047236707780051256
92,2021-01-20,0.04484568333407469
93,2021-01-21,0.04282058621940616
94,2021-01-22,0.04159259902136732
95,2021-01-23,0.055246000491013
96,2021-01-24,0.055177158047026206
97,2021-01-25,0.05787131502995003
98,2021-01-26,0.05403590966693187
99,2021-01-27,0.048496513212559565
100,2021-01-28,0.05449578501886432
101,2021-01-29,0.04864836848187455
102,2021-01-30,0.05494798305043905
103,2021-01-31,0.051244294811156076
104,2021-02-01,0.04813832572128519
105,2021-02-02,0.04795634677248863
106,2021-02-03,0.04429378917572641
107,2021-02-04,0.04452086339083908
108,2021-02-05,0.04572765846151395
109,2021-02-06,0.04327499480366438
110,2021-02-07,0.04317040319170599
111,2021-02-08,0.04118692013405966
112,2021-02-09,0.03971880033077709
113,2021-02-10,0.06009032957026363
114,2021-02-11,0.057618859129598306
115,2021-02-12,0.05430247194356553
116,2021-02-13,0.055085102285155285
117,2021-02-14,0.05170595785853628
118,2021-02-15,0.04873304061866264
119,2021-02-16,0.04868239593309756
120,2021-02-17,0.046553177386953776
121,2021-02-18,0.044915835278337604
122,2021-02-19,0.044696963950456164
123,2021-02-20,0.04281529925660573
124,2021-02-21,0.04598955873904346
125,2021-02-22,0.04343961470647696
126,2021-02-23,0.04308709238150792
127,2021-02-24,0.04472702967518275
128,2021-02-25,0.05371503850479088
129,2021-02-26,0.051290674891265105
130,2021-02-27,0.050482203695578154
131,2021-02-28,0.04946875350685214
132,2021-03-01,0.04351786685790762
133,2021-03-02,0.04379333960840711
134,2021-03-03,0.048412889896159585
135,2021-03-04,0.04811370265752067
136,2021-03-05,0.04862630346154781
137,2021-03-06,0.046443467034383394
138,2021-03-07,0.042893470348392596
139,2021-03-08,0.042910388174508596
140,2021-03-09,0.043286416428289884
141,2021-03-10,0.040512704004600116
142,2021-03-11,0.04100835239904135
143,2021-03-12,0.03955750114752756
144,2021-03-13,0.03915906261804202
145,2021-03-14,0.03943646260296099
146,2021-03-15,0.03969492786066332
147,2021-03-16,0.04760172524416576
148,2021-03-17,0.04220894047802176
149,2021-03-18,0.04132836887122669
150,2021-03-19,0.04108626253610885
151,2021-03-20,0.03922306501956326
152,2021-03-21,0.03781851857018977
153,2021-03-22,0.03632699621940792
154,2021-03-23,0.038438291929893106
