,Date,Return
0,2015-02-21,0.0
1,2015-02-22,0.0017210227120326032
2,2015-02-23,-0.0005159958834816796
3,2015-02-24,0.0035206768580256747
4,2015-02-25,0.004191443628313145
5,2015-02-26,0.0035787359258451553
6,2015-02-27,0.006950358543895071
7,2015-02-28,0.0
8,2015-03-01,-0.0010141131605193384
9,2015-03-02,0.002111576442338895
10,2015-03-03,-0.0007596539719608611
11,2015-03-04,-0.002282430510279325
12,2015-03-05,-0.0017788323694402737
13,2015-03-06,-0.019346605812886455
14,2015-03-07,0.0
15,2015-03-08,8.643415883326091e-05
16,2015-03-09,-0.00990193098729546
17,2015-03-10,-0.01433054547675657
18,2015-03-11,-0.00791220734367095
19,2015-03-12,-0.0034869721057409642
20,2015-03-13,-0.0023314214290683605
21,2015-03-14,0.0
22,2015-03-15,0.0014353640214429797
23,2015-03-16,-0.007558751007166109
24,2015-03-17,-0.011994691739675883
25,2015-03-18,0.027767041284230763
26,2015-03-19,-0.0016017088314830487
27,2015-03-20,0.013357711107783202
28,2015-03-21,0.0
29,2015-03-22,0.002194427038166392
30,2015-03-23,0.005247060573516485
31,2015-03-24,-0.007265756128935616
32,2015-03-25,0.003945815983644616
33,2015-03-26,0.00723724656921464
34,2015-03-27,-0.01258977985886166
35,2015-03-28,0.0
36,2015-03-29,0.0004398117676561405
37,2015-03-30,-0.016582069151131144
38,2015-03-31,0.01746111280829823
39,2015-04-01,0.01888737115449622
40,2015-04-02,-0.005100067241718092
41,2015-04-03,0.0
42,2015-04-04,0.0
43,2015-04-05,0.014966733875206795
44,2015-04-06,0.0012798090565581796
45,2015-04-07,-0.004529341589334665
46,2015-04-08,-0.004980261023623227
47,2015-04-09,-0.006650281451384332
48,2015-04-10,0.014623916529672567
49,2015-04-11,0.0
50,2015-04-12,0.0008536065392406864
51,2015-04-13,-0.016604674529991044
52,2015-04-14,-0.0010415763462270032
53,2015-04-15,0.009507418200771467
54,2015-04-16,-0.0020666501801503896
55,2015-04-17,0.008155601714152952
56,2015-04-18,0.0
57,2015-04-19,0.0012816680525775054
58,2015-04-20,-0.01957380880118255
59,2015-04-21,-0.00043548317545784716
60,2015-04-22,-0.014831988955330652
61,2015-04-23,0.003706649729712405
62,2015-04-24,-0.011072348381099065
63,2015-04-25,0.0
64,2015-04-26,-0.0001781578483244826
65,2015-04-27,0.016960039065872245
66,2015-04-28,0.010889083594584655
67,2015-04-29,-0.0028632183024206
68,2015-04-30,-0.008814474314413998
69,2015-05-01,-0.009600637444830822
70,2015-05-02,0.0
71,2015-05-03,-0.0012398159576102069
72,2015-05-04,0.01634770102963161
73,2015-05-05,0.0
74,2015-05-06,-0.004455907071266353
75,2015-05-07,-0.010032645974765147
76,2015-05-08,0.008455220356291223
77,2015-05-09,0.0
78,2015-05-10,0.0
79,2015-05-11,-0.013687352187505468
80,2015-05-12,0.006027852663616072
81,2015-05-13,0.012733432201092887
82,2015-05-14,0.010244034370219295
83,2015-05-15,0.008086065563671809
84,2015-05-16,0.0
85,2015-05-17,-0.000857118420520312
86,2015-05-18,0.005046411941078881
87,2015-05-19,-0.017731571468394665
88,2015-05-20,0.002255379165619241
89,2015-05-21,-0.0012138028193921563
90,2015-05-22,-0.007051785631965095
91,2015-05-23,0.0
92,2015-05-24,-0.001398846180191147
93,2015-05-25,0.003406265575666123
94,2015-05-26,-0.01981309033810002
95,2015-05-27,-0.005976557640811035
96,2015-05-28,-0.0006264823223651941
97,2015-05-29,-0.00529600447923781
98,2015-05-30,0.0
99,2015-05-31,-0.0020721661543242416
100,2015-06-01,-0.005425949285997121
101,2015-06-02,0.008217863559561956
102,2015-06-03,-0.007402091930365155
103,2015-06-04,-0.003630756461949633
104,2015-06-05,-0.0035527252125735482
105,2015-06-06,0.0
106,2015-06-07,-0.0021011289874928074
107,2015-06-08,0.00738010729762246
108,2015-06-09,0.005883168527834634
109,2015-06-10,0.005220533908864517
110,2015-06-11,-0.006304055459565792
111,2015-06-12,-0.011357047523292299
112,2015-06-13,0.0
113,2015-06-14,0.00219058137981846
114,2015-06-15,-0.007871894196279624
115,2015-06-16,-0.007934352907975542
116,2015-06-17,0.0010183771652704716
117,2015-06-18,0.0022183205325713193
118,2015-06-19,0.0006460842903223627
119,2015-06-20,0.0
120,2015-06-21,-0.0020319578433142826
121,2015-06-22,-0.01838166987889966
122,2015-06-23,0.0054470457744566735
123,2015-06-24,0.006069396287102367
124,2015-06-25,0.0066802994765455944
125,2015-06-26,-0.0011102887891137143
126,2015-06-27,0.0
127,2015-06-28,-0.0009261832652446273
128,2015-06-29,0.0009261832652446739
129,2015-06-30,-0.002409863062636598
130,2015-07-01,0.0036126202969593863
131,2015-07-02,0.0005546311844894094
132,2015-07-03,-0.0002772771402763717
133,2015-07-04,0.0
134,2015-07-05,-0.0030551336081155143
135,2015-07-06,-0.014664251943552633
136,2015-07-07,-0.030086792563635178
137,2015-07-08,-0.007396627396298092
138,2015-07-09,-0.003620887647408367
139,2015-07-10,0.010920545346660872
140,2015-07-11,0.0
141,2015-07-12,-0.0008731506739553806
142,2015-07-13,0.002423538581410448
143,2015-07-14,-0.005631629603874418
144,2015-07-15,-0.006545229247298776
145,2015-07-16,-0.011731785367494689
146,2015-07-17,-0.01307599606174686
147,2015-07-18,0.0
148,2015-07-19,-0.0008041009579909554
149,2015-07-20,-0.022987179784602005
150,2015-07-21,0.0011311636765802397
151,2015-07-22,0.010123303386578545
152,2015-07-23,-0.0027507530971364875
153,2015-07-24,0.005291017634415459
154,2015-07-25,0.0
