date,RV
2018-06-24,0.0071267284234968
2018-06-25,0.0002872611859718
2018-06-26,0.0002425747664324
2018-06-27,8.116407292023396e-05
2018-06-28,0.0013237384205554
2018-06-29,0.0028053915804428
2018-06-30,0.0009084949518315
2018-07-01,0.0001588905281862
2018-07-02,0.0018415645786181
2018-07-03,0.0004361438105595
2018-07-04,0.0008083264282369
2018-07-05,0.0003378825183491
2018-07-06,0.0001702739759
2018-07-07,0.0010659916559332
2018-07-08,0.0001345819389821
2018-07-09,0.0001019726162764
2018-07-10,0.0015458507513431
2018-07-11,9.93711748220026e-05
2018-07-12,0.0009071865675685
2018-07-13,0.0002671181543358
2018-07-14,3.3485673626881105e-05
2018-07-15,0.000186952556081
2018-07-16,0.0018721420438204
2018-07-17,0.0056586795175794
2018-07-18,0.0004569849057965
2018-07-19,0.0003412461981488
2018-07-20,0.0003599523259216
2018-07-21,0.0002827501404098
2018-07-22,0.0004137185458536
2018-07-23,0.0013094551807812
2018-07-24,0.0024121726341075
2018-07-25,0.0005022871324907
2018-07-26,0.0019569057116797
2018-07-27,0.0009875895940323
2018-07-28,0.0002267535681293
2018-07-29,0.0001199348780314
2018-07-30,8.543605606484064e-05
2018-07-31,0.0011391095408332
2018-08-01,0.000799945158471
2018-08-02,0.0002614414576376
2018-08-03,0.0013714506132326
2018-08-04,0.0036176784724779
2018-08-05,0.0002888235606548
2018-08-06,0.0002386419034914
2018-08-07,0.0023283409640687
2018-08-08,0.001355245936098
2018-08-09,0.0005073688978298
2018-08-10,0.0025020967289576
2018-08-11,0.0027732881616301
2018-08-12,0.0002171151783824
2018-08-13,0.0008543134893852
2018-08-14,0.0024167479044188
2018-08-15,0.0011043194631458
2018-08-16,0.000550341131199
2018-08-17,0.0006210053433212
2018-08-18,0.0007898366031975
2018-08-19,0.0005171671199207
2018-08-20,0.0009931091771719
2018-08-21,0.0003794871526728
2018-08-22,0.0027510756782711
2018-08-23,0.000506872297037
2018-08-24,0.000535874715414
2018-08-25,0.0001351039457869
2018-08-26,0.0003606748445705
2018-08-27,0.000667623087738
2018-08-28,0.0003831911616024
2018-08-29,0.0004189663617737
2018-08-30,0.0009068221939771
2018-08-31,0.0001799985141771
2018-09-01,0.0004552526193497
2018-09-02,0.0001845591831987
2018-09-03,0.0001702136894252
2018-09-04,8.22882045060382e-05
2018-09-05,0.0039005525288593
2018-09-06,0.0016729205150641
2018-09-07,0.0004037646180216
2018-09-08,0.0016457169369319
2018-09-09,0.0013066602525322
2018-09-10,0.0001635246883923
2018-09-11,0.0001635241970312
2018-09-12,0.0001170210638359
2018-09-13,0.0002757482136576
2018-09-14,0.0004719475656066
2018-09-15,2.997643841033491e-05
2018-09-16,0.0001333111552131
2018-09-17,0.001153731786274
2018-09-18,0.0002533471154884
2018-09-19,0.0003350329815638
2018-09-20,0.000144924959642
2018-09-21,0.0005047114254517
2018-09-22,0.0001023761012123
2018-09-23,0.0001256024331273
2018-09-24,0.0002752914098146
2018-09-25,0.0006615672747581
2018-09-26,0.0003511498776547
2018-09-27,0.000873604277926
2018-09-28,0.0005645123547428
2018-09-29,0.0005536650263674
2018-09-30,7.799430826294668e-05
2018-10-01,0.000110495931669
2018-10-02,3.7500051226942274e-05
2018-10-03,0.0002485674672904
