Date,Open,High,Low,Close,Adj Close
2018-01-01,1.027116,1.027961,1.025746,1.026979,1.026979
2018-01-02,1.025957,1.031034,1.025883,1.025936,1.025936
2018-01-03,1.029336,1.029654,1.020731,1.029379,1.029379
2018-01-04,1.023437,1.02701,1.022579,1.023395,1.023395
2018-01-05,1.026273,1.026905,1.022234,1.026273,1.026273
2018-01-06,1.026273,1.026905,1.022234,1.026273,1.026273
2018-01-07,1.026273,1.026905,1.022234,1.026273,1.026273
2018-01-08,1.025557,1.026167,1.02214,1.025578,1.025578
2018-01-09,1.023028,1.02417,1.016188,1.023154,1.023154
2018-01-10,1.016353,1.025168,1.015785,1.016487,1.016487
2018-01-11,1.022788,1.027644,1.018942,1.022861,1.022861
2018-01-12,1.024884,1.031087,1.023583,1.024937,1.024937
2018-01-13,1.024884,1.031087,1.023583,1.024937,1.024937
2018-01-14,1.024884,1.031087,1.023583,1.024937,1.024937
2018-01-15,1.032951,1.04145,1.03261,1.033165,1.033165
2018-01-16,1.038206,1.039631,1.034725,1.038346,1.038346
2018-01-17,1.042579,1.044474,1.036291,1.042644,1.042644
2018-01-18,1.036183,1.044027,1.035711,1.036216,1.036216
2018-01-19,1.042938,1.048658,1.039361,1.043003,1.043003
2018-01-20,1.042938,1.048658,1.039361,1.043003,1.043003
2018-01-21,1.042938,1.048658,1.039361,1.043003,1.043003
2018-01-22,1.039912,1.042535,1.037592,1.04015,1.04015
2018-01-23,1.039609,1.045183,1.038131,1.039447,1.039447
2018-01-24,1.045151,1.060434,1.044408,1.045391,1.045391
2018-01-25,1.056848,1.076496,1.056491,1.056725,1.056725
2018-01-26,1.061797,1.071754,1.061087,1.061797,1.061797
2018-01-27,1.061797,1.071754,1.061087,1.061797,1.061797
2018-01-28,1.061797,1.071754,1.061087,1.061797,1.061797
2018-01-29,1.071042,1.071237,1.065451,1.071054,1.071054
2018-01-30,1.066849,1.074091,1.064736,1.067008,1.067008
2018-01-31,1.069942,1.075975,1.06857,1.069988,1.069988
2018-02-01,1.073825,1.079133,1.070561,1.074114,1.074114
2018-02-02,1.079925,1.080135,1.07126,1.079937,1.079937
2018-02-03,1.079925,1.080135,1.07126,1.079937,1.079937
2018-02-04,1.079925,1.080135,1.07126,1.079937,1.079937
2018-02-05,1.073964,1.07689,1.066633,1.074022,1.074022
2018-02-06,1.073837,1.074552,1.064271,1.073883,1.073883
2018-02-07,1.06833,1.070526,1.058302,1.068308,1.068308
2018-02-08,1.060727,1.068342,1.056167,1.060783,1.060783
2018-02-09,1.069519,1.069862,1.062936,1.069427,1.069427
2018-02-10,1.069519,1.069862,1.062936,1.069427,1.069427
2018-02-11,1.069519,1.069862,1.062936,1.069427,1.069427
2018-02-12,1.064317,1.06792,1.063841,1.064396,1.064396
2018-02-13,1.065292,1.072605,1.064045,1.06553,1.06553
2018-02-14,1.069164,1.075199,1.066803,1.069256,1.069256
2018-02-15,1.077772,1.084105,1.076438,1.078179,1.078179
2018-02-16,1.084881,1.088258,1.07975,1.084599,1.084599
2018-02-17,1.084881,1.088258,1.07975,1.084599,1.084599
2018-02-18,1.084881,1.088258,1.07975,1.084599,1.084599
2018-02-19,1.078504,1.07968,1.073019,1.078504,1.078504
2018-02-20,1.075951,1.076658,1.068022,1.075963,1.075963
2018-02-21,1.067897,1.068719,1.065405,1.06792,1.06792
2018-02-22,1.065292,1.071926,1.062835,1.065349,1.065349
2018-02-23,1.071616,1.072386,1.066974,1.071742,1.071742
2018-02-24,1.071616,1.072386,1.066974,1.071742,1.071742
2018-02-25,1.071616,1.072386,1.066974,1.071742,1.071742
2018-02-26,1.067076,1.072444,1.065042,1.067168,1.067168
2018-02-27,1.065394,1.068559,1.062146,1.065417,1.065417
2018-02-28,1.064135,1.06519,1.057854,1.064555,1.064555
2018-03-01,1.058335,1.059266,1.053952,1.058985,1.058985
2018-03-02,1.062214,1.070721,1.061166,1.062146,1.062146
2018-03-03,1.062214,1.070721,1.061166,1.062146,1.062146
2018-03-04,1.062214,1.070721,1.061166,1.062146,1.062146
2018-03-05,1.06735,1.06929,1.063762,1.067088,1.067088
2018-03-06,1.064022,1.068433,1.062022,1.064169,1.064169
2018-03-07,1.065837,1.068741,1.059457,1.065825,1.065825
2018-03-08,1.059805,1.061391,1.052499,1.059973,1.059973
2018-03-09,1.051039,1.053941,1.048922,1.051094,1.051094
2018-03-10,1.051039,1.053941,1.048922,1.051094,1.051094
2018-03-11,1.051039,1.053941,1.048922,1.051094,1.051094
2018-03-12,1.051735,1.055476,1.051392,1.051746,1.051746
2018-03-13,1.055632,1.060243,1.053474,1.055754,1.055754
2018-03-14,1.05967,1.061233,1.055019,1.060097,1.060097
2018-03-15,1.05875,1.060007,1.052233,1.05884,1.05884
2018-03-16,1.051027,1.054141,1.04746,1.051193,1.051193
2018-03-17,1.051027,1.054141,1.04746,1.051193,1.051193
2018-03-18,1.051027,1.054141,1.04746,1.051193,1.051193
2018-03-19,1.049362,1.05302,1.047033,1.049538,1.049538
2018-03-20,1.051182,1.052521,1.046671,1.051635,1.051635
2018-03-21,1.046003,1.05042,1.045916,1.046091,1.046091
2018-03-22,1.054296,1.057105,1.05323,1.054218,1.054218
2018-03-23,1.056792,1.058761,1.053352,1.056669,1.056669
2018-03-24,1.056792,1.058761,1.053352,1.056669,1.056669
